,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Stanley Johnson,0,0.0,1,2,4,2,0,16.7,6,0,0.0,0,1,2,2,23:36,-20,2,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,8.0
Blake Griffin,4,0.0,3,2,3,1,0,33.3,12,0,66.7,6,4,1,12,32:54,-20,5,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,14.5
Andre Drummond,2,0.0,0,2,3,18,0,44.4,18,6,100,2,8,12,18,34:56,-16,2,3,4,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,56.0
Reggie Bullock,0,40.0,5,2,0,2,2,50.0,12,0,0.0,0,6,2,14,32:09,-17,1,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,22.5
Ish Smith,2,0.0,1,1,4,3,0,53.8,13,1,50.0,4,7,2,16,25:35,-22,2,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,22.0
Anthony Tolliver,0,33.3,3,0,1,1,1,40.0,5,0,0.0,0,2,1,5,18:13,-14,0,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,11.0
Dwight Buycks,4,50.0,4,1,1,4,2,27.3,11,4,100,4,3,0,12,18:31,-2,4,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,24.0
Luke Kennard,0,0.0,0,0,3,2,0,0.0,4,0,0.0,0,0,2,0,15:51,-12,2,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,5.0
James Ennis,2,50.0,4,3,2,6,2,33.3,9,2,100,2,3,4,10,24:24,-9,1,0,2,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,22.5
Henry Ellenson,1,0.0,1,0,1,2,0,33.3,3,0,50.0,2,1,2,3,6:03,-3,1,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,5.5
