,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Eric Moreland,0,0.0,0,0,0,0,0,100,1,0,0.0,0,1,0,2,3:54,-5,0,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,2.0
Langston Galloway,0,0.0,0,0,0,1,0,0.0,0,0,0.0,0,0,1,0,3:54,-5,0,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,1.0
Jameer Nelson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,NA
OG Anunoby,1,100,1,1,0,1,1,75.0,4,0,100,1,3,1,8,18:07,10,2,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,12.0
Serge Ibaka,2,37.5,8,0,2,9,3,50.0,14,1,100,2,7,8,19,23:58,14,0,1,2,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,41.0
Jonas Valanciunas,0,0.0,2,2,1,5,0,16.7,6,1,0.0,0,1,4,2,22:00,14,1,1,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,12.5
DeMar DeRozan,10,0.0,1,3,0,1,0,55.6,9,0,90.9,11,5,1,20,29:14,14,7,1,2,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,27.5
Kyle Lowry,2,75.0,8,2,2,6,6,60.0,10,1,100,2,6,5,20,24:32,12,4,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,40.0
CJ Miles,3,33.3,6,0,1,3,2,33.3,6,0,100,3,2,3,9,15:03,14,1,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,14.5
Jakob Poeltl,0,0.0,0,2,1,4,0,57.1,7,1,0.0,0,4,3,8,22:06,10,1,1,3,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,23.5
Pascal Siakam,1,0.0,1,3,4,5,0,71.4,7,1,100,1,5,4,11,24:02,15,6,2,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,27.0
Fred VanVleet,3,33.3,3,2,4,4,1,40.0,5,1,100,3,2,3,8,18:48,14,2,0,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,15.0
Delon Wright,0,66.7,3,2,2,3,2,60.0,5,0,0.0,0,3,3,8,20:40,17,4,1,1,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,25.0
Norman Powell,0,50.0,2,0,0,1,1,75.0,4,0,0.0,0,3,1,7,8:42,-1,1,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,11.5
Malcolm Miller,0,0.0,2,0,1,3,0,0.0,2,0,0.0,0,0,3,0,8:54,7,1,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,4.5
Lucas Nogueira,0,100,1,1,0,2,1,100,1,0,0.0,0,1,2,3,3:54,5,1,0,0,"FEB 26, 2018",900,26,27,22,19,30,29,34,30,123,94,"Garretson""""","Kogut""""",Orr,TORONTO,DET,TOR,7.5
Dragan Bender,0,50.0,6,1,6,6,3,37.5,8,1,0.0,0,3,5,9,25:17,-3,7,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,30.5
TJ Warren,5,0.0,0,1,3,6,0,42.9,21,2,100,5,9,4,23,41:48,-11,0,2,2,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,35.0
Alex Len,1,0.0,0,1,6,2,0,0.0,1,0,50.0,2,0,2,1,20:32,3,2,0,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,7.0
Devin Booker,9,30.0,10,3,4,10,3,50.0,28,0,81.8,11,14,10,40,40:41,-3,7,0,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,57.5
Elfrid Payton,2,0.0,1,5,3,7,0,41.2,17,4,100,2,7,3,16,35:57,-22,5,0,2,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,29.5
Marquese Chriss,0,50.0,2,3,6,5,1,60.0,5,1,0.0,1,3,4,7,18:12,-3,0,3,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,20.0
Josh Jackson,8,0.0,3,0,3,12,0,40.0,15,6,72.7,11,6,6,20,29:47,-1,1,0,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,28.5
Troy Daniels,0,0.0,2,0,1,2,0,0.0,2,0,0.0,0,0,2,0,26:11,-11,1,0,2,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,9.5
Shaquille Harrison,0,0.0,0,0,1,1,0,0.0,0,0,0.0,0,0,1,0,1:35,6,0,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,1.0
Jared Dudley,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,NA
Tyler Ulis,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,NA
ETwaun Moore,1,33.3,3,1,2,4,1,33.3,6,0,50.0,2,2,4,6,28:57,4,3,0,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,17.5
Anthony Davis,21,0.0,1,1,3,18,0,55.2,29,8,80.8,26,16,10,53,38:42,9,3,5,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,71.5
Emeka Okafor,4,0.0,0,0,2,4,0,100,5,0,80.0,5,5,4,14,18:32,8,0,1,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,20.0
Jrue Holiday,3,50.0,2,3,4,2,1,61.5,13,0,75.0,4,8,2,20,33:23,14,7,1,2,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,37.5
Rajon Rondo,2,0.0,2,5,3,5,0,22.2,9,0,100,2,2,5,6,35:53,18,12,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,22.0
DeAndre Liggins,0,100,1,0,0,1,1,100,1,0,0.0,0,1,1,3,7:04,-7,1,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,7.5
Nikola Mirotic,0,22.2,9,0,1,8,2,30.8,13,0,0.0,0,4,8,10,24:56,12,1,1,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,29.5
Darius Miller,0,20.0,5,1,5,3,1,33.3,6,1,0.0,1,2,2,5,26:23,2,3,0,1,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,16.5
Walter Lemon,0,0.0,0,1,1,0,0,100,1,0,0.0,0,1,0,2,4:49,-8,0,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,1.0
Ian Clark,0,40.0,5,2,1,1,2,25.0,8,0,0.0,0,2,1,6,21:21,-7,0,0,0,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,9.0
Cheick Diallo,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",901,36,29,24,27,26,32,38,29,125,116,"Wright""""","Cutler""""",Smith,NEW,PHX,NOP,NA
Jonathon Simmons,9,0.0,1,3,4,5,0,71.4,7,2,90.0,10,5,3,19,35:39,5,2,1,4,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,30.0
Aaron Gordon,3,14.3,7,0,0,7,1,35.0,20,1,75.0,4,7,6,18,33:17,9,1,3,2,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,40.5
Nikola Vucevic,0,60.0,5,3,5,7,3,46.2,13,3,0.0,0,6,4,15,32:48,6,3,2,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,38.5
Evan Fournier,2,55.6,9,2,2,4,5,40.0,15,0,100,2,6,4,19,34:58,0,2,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,35.0
DJ Augustin,0,50.0,4,5,2,4,2,66.7,6,0,0.0,0,4,4,10,33:27,1,9,0,3,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,35.5
Bismack Biyombo,1,0.0,0,1,2,0,0,75.0,4,0,20.0,5,3,0,7,15:12,-13,0,0,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,5.0
Shelvin Mack,0,50.0,2,2,2,1,1,50.0,6,0,0.0,0,3,1,7,16:40,-15,5,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,18.5
Rashad Vaughn,0,0.0,0,0,0,2,0,100,1,1,0.0,0,1,1,2,10:14,-5,0,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,7.0
Mario Hezonja,0,0.0,1,0,1,3,0,22.2,9,0,0.0,0,2,3,4,15:22,-16,0,0,2,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,13.0
Wes Iwundu,0,0.0,0,0,1,2,0,66.7,3,1,0.0,0,2,1,4,12:23,-7,1,0,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,7.5
Arron Afflalo,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Khem Birch,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Marreese Speights,NA,NA,NA,NA,NA,NA,NA,NA,PERSONAL,NA,NA,NA,,NA,NA,NWT,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Paul George,6,28.6,7,2,2,8,2,45.0,20,3,85.7,7,9,5,26,36:36,2,3,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,37.5
Carmelo Anthony,0,33.3,3,2,1,9,1,26.7,15,2,0.0,0,4,7,9,32:03,-5,1,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,22.5
Steven Adams,4,0.0,0,3,1,8,0,75.0,8,2,66.7,6,6,6,16,34:10,-2,2,2,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,29.0
Josh Huestis,0,100,1,0,0,5,1,66.7,3,2,0.0,0,2,3,5,21:15,-2,0,1,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,15.0
Russell Westbrook,2,0.0,1,7,5,12,0,25.0,12,2,100,2,3,10,8,35:25,-5,11,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,30.5
Terrance Ferguson,0,0.0,1,0,1,0,0,50.0,2,0,0.0,0,1,0,2,13:12,3,0,2,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,8.0
Jerami Grant,2,0.0,0,2,1,3,0,57.1,7,1,100,2,4,2,10,16:57,12,0,0,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,9.0
Raymond Felton,0,100,3,2,1,0,3,71.4,7,0,0.0,0,5,0,13,12:35,12,4,0,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,26.0
Patrick Patterson,1,100,2,1,1,2,2,100,4,0,100,1,4,2,11,16:18,12,3,0,0,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,19.5
Alex Abrines,2,28.6,7,1,0,3,2,40.0,10,2,100,2,4,1,12,21:29,8,0,1,1,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,22.0
Nick Collison,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Dakari Johnson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Kyle Singler,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",902,38,24,15,28,31,30,23,28,112,105,"Ayotte""""","Zarba""""",Sterling,OKLAHOMA,ORL,OKC,NA
Bojan Bogdanovic,1,50.0,4,2,0,8,2,50.0,16,3,100,1,8,5,19,35:53,6,1,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,29.5
Thaddeus Young,2,0.0,2,1,1,14,0,18.2,11,3,50.0,4,2,11,6,35:38,11,2,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,23.0
Myles Turner,2,100,2,1,3,11,2,71.4,14,2,50.0,4,10,9,24,36:14,5,2,3,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,51.0
Victor Oladipo,5,0.0,3,3,4,5,0,61.5,13,0,83.3,6,8,5,21,22:57,3,4,1,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,30.0
Cory Joseph,1,50.0,2,0,5,5,1,50.0,8,0,100,1,4,5,10,36:33,-12,2,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,19.0
Glenn Robinson,2,0.0,2,0,0,1,0,66.7,6,0,66.7,3,4,1,10,21:04,-6,3,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,16.5
Domantas Sabonis,3,0.0,0,2,3,1,0,25.0,4,0,75.0,4,1,1,5,16:13,-20,1,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,5.5
Lance Stephenson,0,0.0,4,1,3,5,0,30.0,10,1,0.0,0,3,4,6,20:02,-20,4,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,16.0
Joe Young,0,0.0,1,2,0,0,0,20.0,5,0,0.0,0,1,0,2,15:26,3,3,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,7.5
Al Jefferson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
TJ Leaf,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
Trey McKinneyJones,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
Alex Poythress,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
Harrison Barnes,6,16.7,6,2,2,3,1,41.2,17,1,85.7,7,7,2,21,31:39,-14,1,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,22.5
Dwight Powell,0,0.0,0,1,5,14,0,50.0,10,2,0.0,0,5,12,10,32:38,7,1,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,24.5
Dirk Nowitzki,0,25.0,4,0,2,7,1,30.0,10,0,0.0,0,3,7,7,24:49,20,2,0,1,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,22.0
Wesley Matthews,0,33.3,9,1,3,2,3,41.7,12,1,0.0,0,5,1,13,31:39,-14,1,1,2,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,30.5
Dennis Smith,3,20.0,5,2,0,3,1,36.4,11,0,75.0,4,4,3,12,28:55,-6,4,0,3,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,27.0
Maxi Kleber,0,0.0,1,0,1,1,0,0.0,2,1,0.0,0,0,0,0,4:32,-8,0,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,1.0
Yogi Ferrell,2,33.3,3,0,2,3,1,60.0,5,0,100,2,3,3,9,30:46,7,1,0,2,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,19.5
JJ Barea,2,60.0,5,2,2,2,3,63.6,11,0,100,2,7,2,19,26:06,17,9,0,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,36.5
Doug McDermott,1,100,4,1,3,2,4,62.5,8,1,100,1,5,1,15,16:21,20,1,1,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,27.5
Salah Mejri,1,0.0,0,1,1,7,0,50.0,2,1,50.0,2,1,6,3,12:37,1,0,1,0,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,11.0
Kyle Collinsworth,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
Scotty Hopson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"FEB 26, 2018",903,23,20,22,38,23,26,19,41,109,103,"Brothers""""","Taylor""""",Washington,DALLAS,IND,DAL,NA
Trevor Ariza,0,33.3,9,0,3,3,3,23.1,13,1,0.0,0,3,2,9,32:50,0,0,0,0,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,18.0
PJ Tucker,2,0.0,4,1,3,3,0,0.0,7,0,100,2,0,3,2,25:13,4,0,0,2,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,8.0
Tarik Black,0,0.0,0,1,3,4,0,50.0,8,4,0.0,1,4,0,8,18:26,-7,0,1,2,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,20.0
James Harden,9,20.0,5,6,1,11,1,61.5,13,1,75.0,12,8,10,26,34:58,15,5,0,4,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,43.5
Chris Paul,4,25.0,4,2,2,6,1,38.5,13,1,100,4,5,5,15,33:59,15,7,0,3,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,36.5
Luc Mbah,1,100,2,0,1,3,2,100,7,0,100,1,7,3,17,28:56,16,0,1,1,"FEB 26, 2018",904,19,20,31,26,21,23,19,22,85,96,"Callahan""""","Buchert""""",Petraitis,HOUSTON,HOU,UTA,29.0
