First Name,Height,Last Name,Position,Team
Bryn,6,Forbes,Guard,spurs
Evan,6,Fournier,Guard-Forward,magic
'De''Aaron',6,Fox,Guard,kings
Tim,6,Frazier,Guard,wizards
Channing,6,Frye,Forward,lakers
Markelle,6,Fultz,Guard,sixers
Danilo,6,Gallinari,Forward,clippers
Langston,6,Galloway,Guard,pistons
Marc,7,Gasol,Center,grizzlies
Pau,7,Gasol,Center,spurs
Rudy,6,Gay,Forward,spurs
Paul,6,George,Forward,thunder
Marcus,6,Georges-Hunt,Guard,timberwolves
Jonathan,6,Gibson,Guard,celtics
Taj,6,Gibson,Forward,timberwolves
Harry,6,Giles,Forward-Center,kings
Manu,6,Ginobili,Guard,spurs
Rudy,7,Gobert,Center,jazz
Aaron,6,Gordon,Forward,magic
Eric,6,Gordon,Guard,rockets
Marcin,6,Gortat,Center,wizards
Treveon,6,Graham,Guard-Forward,hornets
Jerami,6,Grant,Forward,thunder
Jerian,6,Grant,Guard,bulls
Danny,6,Green,Guard-Forward,spurs
Draymond,6,Green,Forward,warriors
Gerald,6,Green,Guard-Forward,rockets
JaMychal,6,Green,Forward,grizzlies
Jeff,6,Green,Forward,cavaliers
Blake,6,Griffin,Forward,pistons
Daniel,6,Hamilton,Guard,thunder
Tim,6,Hardaway,Forward-Guard,knicks
James,6,Harden,Guard,rockets
Maurice,6,Harkless,Forward,blazers
Montrezl,6,Harrell,Forward-Center,clippers
Devin,6,Harris,Guard,nuggets
Gary,6,Harris,Guard,nuggets
Joe,6,Harris,Forward-Guard,nets
Aaron,6,Harrison,Guard,mavericks
Andrew,6,Harrison,Guard,grizzlies
Shaquille,6,Harrison,Guard,suns
Tobias,6,Harris,Forward,clippers
Josh,6,Hart,Guard,lakers
Udonis,6,Haslem,Forward,heat
Nigel,6,Hayes,Forward,kings
Gordon,6,Hayward,Forward,celtics
Reggie,6,Hearn,Guard,pistons
Myke,6,Henry,Forward,grizzlies
John,6,Henson,Center,bucks
Juancho,6,Hernangomez,Forward,nuggets
Willy,6,Hernangomez,Center,hornets
Mario,6,Hezonja,Forward-Guard,magic
Isaiah,6,Hicks,Forward,knicks
Buddy,6,Hield,Guard,kings
George,6,Hill,Guard,cavaliers
Darrun,6,Hilliard,Guard,spurs
Solomon,6,Hill,Forward,pelicans
Jrue,6,Holiday,Guard,pelicans
Justin,6,Holiday,Guard,bulls
Rondae,6,Hollis-Jefferson,Forward,nets
Richaun,6,Holmes,Forward-Center,sixers
Rodney,6,Hood,Guard,cavaliers
Al,6,Horford,Forward-Center,celtics
Danuel,6,House,Forward-Guard,suns
Dwight,6,Howard,Center,hornets
Josh,6,Huestis,Guard,thunder
RJ,6,Hunter,Guard,rockets
Serge,6,Ibaka,Forward,raptors
Andre,6,Iguodala,Forward-Guard,warriors
Ersan,6,Ilyasova,Forward,sixers
Joe,6,Ingles,Forward,jazz
Andre,6,Ingram,Guard,lakers
Brandon,6,Ingram,Forward-Guard,lakers
Kyrie,6,Irving,Guard,celtics
Jonathan,6,Isaac,Forward,magic
Wes,6,Iwundu,Forward,magic
Jarrett,6,Jack,Guard,knicks
Aaron,6,Jackson,Guard,rockets
Demetrius,6,Jackson,Guard,sixers
Frank,6,Jackson,Guard,pelicans
Josh,6,Jackson,Guard-Forward,suns
Justin,6,Jackson,Forward,kings
Reggie,6,Jackson,Guard,pistons
LeBron,6,James,Forward-Guard,cavaliers
Al,6,Jefferson,Center,pacers
Amile,6,Jefferson,Forward,timberwolves
Richard,6,Jefferson,Forward,nuggets
Brandon,6,Jennings,Guard,bucks
Jonas,6,Jerebko,Forward,jazz
Amir,6,Johnson,Center-Forward,sixers
Dakari,7,Johnson,Center,thunder
James,6,Johnson,Forward,heat
Joe,6,Johnson,Guard-Forward,rockets
Omari,6,Johnson,Forward,grizzlies
Stanley,6,Johnson,Forward,pistons
Tyler,6,Johnson,Guard,heat
Wesley,6,Johnson,Forward,clippers
Nikola,6,Jokic,Center,nuggets
Derrick,6,Jones,Forward-Guard,heat
Damian,7,Jones,Center,warriors
Jalen,6,Jones,Forward,mavericks
Tyus,6,Jones,Guard,timberwolves
DeAndre,6,Jordan,Center,clippers
Cory,6,Joseph,Guard,pacers
Frank,7,Kaminsky,Forward-Center,hornets
Enes,6,Kanter,Center,knicks
Luke,6,Kennard,Guard,pistons
Michael,6,Kidd-Gilchrist,Forward,hornets
Sean,6,Kilpatrick,Guard,bulls
Maxi,6,Kleber,Forward,mavericks
Brandon,6,Knight,Guard,suns
Furkan,6,Korkmaz,Guard-Forward,sixers
Luke,7,Kornet,Forward-Center,knicks
Kyle,6,Korver,Guard,cavaliers
Kosta,7,Koufos,Center,kings
Kyle,6,Kuzma,Forward,lakers
Skal,6,Labissiere,Forward-Center,kings
Jeremy,6,Lamb,Guard,hornets
Shane,5,Larkin,Guard,celtics
Joffrey,6,Lauvergne,Center,spurs
Zach,6,LaVine,Guard,bulls
Ty,5,Lawson,Guard,wizards
Jake,6,Layman,Forward,blazers
TJ,6,Leaf,Forward,pacers
Courtney,6,Lee,Guard,knicks
Damion,6,Lee,Guard,hawks
Alex,7,Len,Center,suns
Kawhi,6,Leonard,Forward,spurs
Meyers,7,Leonard,Center,blazers
Jon,6,Leuer,Forward-Center,pistons
Caris,6,LeVert,Guard-Forward,nets
DeAndre,6,Liggins,Guard,pelicans
Damian,6,Lillard,Guard,blazers
Jeremy,6,Lin,Guard,nets
Shaun,6,Livingston,Guard,warriors
Kevon,6,Looney,Forward,warriors
Brook,7,Lopez,Center,lakers
Robin,7,Lopez,Center,bulls
Kevin,6,Love,Center-Forward,cavaliers
Kyle,6,Lowry,Guard,raptors
Timothe,6,Luwawu-Cabarrot,Guard-Forward,sixers
Tyler,6,Lydon,Forward,nuggets
Trey,6,Lyles,Forward,nuggets
Shelvin,6,Mack,Guard,magic
Josh,6,Magette,Guard,hawks
Ian,6,Mahinmi,Center,wizards
Thon,7,Maker,Center-Forward,bucks
Boban,7,Marjanovic,Center,clippers
Lauri,7,Markkanen,Forward,bulls
Jarell,6,Martin,Forward,grizzlies
Frank,5,Mason,Guard,kings
Mangok,6,Mathiang,Forward-Center,hornets
Wesley,6,Matthews,Guard-Forward,mavericks
Luc,6,Mbah,Forward,rockets
Patrick,6,McCaw,Guard,warriors
CJ,6,McCollum,Guard,blazers
T.J.,6,McConnell,Guard,sixers
Erik,6,McCree,Forward,jazz
Chris,6,McCullough,Forward,wizards
Doug,6,McDermott,Forward,mavericks
JaVale,7,McGee,Center,warriors
Rodney,6,McGruder,Guard-Forward,heat
Alfonzo,6,McKinnie,Forward,raptors
Ben,6,McLemore,Guard,grizzlies
Jodie,6,Meeks,Guard,wizards
Salah,7,Mejri,Center,mavericks
Jordan,6,Mickey,Center-Forward,heat
Khris,6,Middleton,Forward,bucks
CJ,6,Miles,Forward-Guard,raptors
Darius,6,Miller,Forward,pelicans
Malcolm,6,Miller,Forward,raptors
Paul,6,Millsap,Forward,nuggets
Patty,6,Mills,Guard,spurs
Nikola,6,Mirotic,Forward,pelicans
Donovan,6,Mitchell,Guard,jazz
Malik,6,Monk,Guard,hornets
Greg,6,Monroe,Center-Forward,celtics
Ben,6,Moore,Forward,pacers
'E''Twaun',6,Moore,Forward-Guard,pelicans
Eric,6,Moreland,Forward-Center,pistons
Jaylen,6,Morris,Guard,hawks
Marcus,6,Morris,Forward,celtics
Markieff,6,Morris,Forward,wizards
Monte,6,Morris,Guard,nuggets
Johnathan,6,Motley,Forward,mavericks
Timofey,7,Mozgov,Center,nets
Emmanuel,6,Mudiay,Guard,knicks
Shabazz,6,Muhammad,Guard-Forward,bucks
Xavier,6,Munford,Guard,bucks
Dejounte,6,Murray,Guard,spurs
Jamal,6,Murray,Guard,nuggets
Mike,6,Muscala,Forward-Center,hawks
Abdel,6,Nader,Forward,celtics
Larry,6,Nance,Forward,cavaliers
Shabazz,6,Napier,Guard,blazers
Jameer,6,Nelson,Guard,pistons
Nene,6,Nene,Center-Forward,rockets
Raul,6,Neto,Guard,jazz
Georges,6,Niang,Forward,jazz
Joakim,6,Noah,Center,knicks
Nerlens,6,Noel,Center,mavericks
Lucas,7,Nogueira,Center,raptors
Dirk,7,Nowitzki,Center-Forward,mavericks
Frank,6,Ntilikina,Guard,knicks
Jusuf,7,Nurkic,Center,blazers
David,6,Nwaba,Forward,bulls
Royce,6,'O''Neale',Forward,jazz
Kyle,6,'O''Quinn',Center-Forward,knicks
Semi,6,Ojeleye,Forward,celtics
Emeka,6,Okafor,Center,pelicans
Jahlil,6,Okafor,Center,nets
Victor,6,Oladipo,Guard,pacers
Kelly,7,Olynyk,Forward-Center,heat
Chinanu,6,Onuaku,Center,rockets
Cedi,6,Osman,Forward,cavaliers
Kelly,6,Oubre,Forward,wizards
Zaza,6,Pachulia,Center,warriors
Marcus,6,Paige,Guard,hornets
Georgios,7,Papagiannis,Center,blazers
Jabari,6,Parker,Forward,bucks
Tony,6,Parker,Guard,spurs
Chandler,6,Parsons,Forward,grizzlies
Patrick,6,Patterson,Forward,thunder
Justin,7,Patton,Center,timberwolves
Brandon,6,Paul,Guard,spurs
Chris,6,Paul,Guard,rockets
Cameron,6,Payne,Guard,bulls
Gary,6,Payton,Guard,lakers
Elfrid,6,Payton,Guard,suns
Kendrick,6,Perkins,Center,cavaliers
Alec,6,Peters,Forward,suns
Marshall,7,Plumlee,Center,bucks
Mason,6,Plumlee,Center-Forward,nuggets
Miles,6,Plumlee,Center,hawks
Jakob,7,Poeltl,Center,raptors
Otto,6,Porter,Forward,wizards
Bobby,6,Portis,Forward,bulls
Kristaps,7,Porzingis,Forward-Center,knicks
Dwight,6,Powell,Center-Forward,mavericks
Norman,6,Powell,Forward-Guard,raptors
