,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Nik Stauskas,2,0.0,0,0,1,2,0,0.0,2,2,66.7,3,0,0,2,11:30,0,0,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,2.0
Caris LeVert,0,66.7,3,2,1,0,2,72.7,11,0,0.0,1,8,0,18,27:54,-16,5,0,2,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,33.5
Quincy Acy,0,20.0,10,0,4,10,2,25.0,12,1,0.0,0,3,9,8,19:59,1,0,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,22.0
Milton Doyle,2,0.0,0,0,0,0,0,0.0,1,0,100,2,0,0,2,1:40,0,0,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,0.0
Timofey Mozgov,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,NA
Jahlil Okafor,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,NA
Kawhi Leonard,3,40.0,5,0,0,2,2,47.1,17,0,75.0,4,8,2,21,26:06,18,2,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,27.0
LaMarcus Aldridge,6,0.0,1,1,3,9,0,46.7,15,2,85.7,7,7,7,20,34:25,8,2,1,2,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,34.0
Pau Gasol,1,66.7,3,1,0,12,2,60.0,10,1,50.0,2,6,11,15,28:39,12,5,1,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,39.5
Danny Green,0,0.0,0,0,3,2,0,50.0,4,0,0.0,0,2,2,4,23:09,-6,1,1,1,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,13.5
Tony Parker,1,100,1,3,0,4,1,60.0,10,0,50.0,2,6,4,14,24:30,7,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,17.5
Manu Ginobili,3,0.0,1,2,2,2,0,57.1,7,1,100,3,4,1,11,21:00,8,3,2,1,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,21.5
Rudy Gay,0,0.0,1,1,1,1,0,40.0,5,0,0.0,0,2,1,4,15:43,8,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,5.5
Kyle Anderson,1,0.0,0,1,0,5,0,66.7,3,0,100,1,2,5,5,18:14,9,0,0,2,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,14.0
Patty Mills,5,66.7,3,1,3,0,2,50.0,4,0,100,5,2,0,11,21:50,5,0,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,9.0
Davis Bertans,0,0.0,0,0,0,2,0,0.0,0,1,0.0,0,0,1,0,4:47,-3,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,3.5
Bryn Forbes,0,0.0,1,0,2,1,0,33.3,3,0,0.0,0,1,1,2,13:24,-2,1,0,1,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,7.5
Joffrey Lauvergne,0,0.0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,0,4:08,-3,0,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,-1.0
Dejounte Murray,0,0.0,0,1,0,3,0,50.0,2,0,0.0,0,1,3,2,4:05,-1,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,5.5
Joe Ingles,0,33.3,6,1,0,7,2,42.9,7,1,0.0,0,3,6,8,29:50,-6,1,0,2,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,25.5
Jonas Jerebko,2,75.0,4,0,4,3,3,40.0,10,0,100,2,4,3,13,26:34,-15,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,20.0
Derrick Favors,8,0.0,0,0,3,6,0,42.9,14,5,72.7,11,6,1,20,28:35,-15,2,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,21.0
Donovan Mitchell,2,25.0,4,2,5,3,1,50.0,10,0,100,2,5,3,13,32:34,-16,6,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,26.0
Ricky Rubio,0,0.0,2,2,3,6,0,12.5,8,1,0.0,0,1,5,2,32:04,-16,7,0,2,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,22.5
Rodney Hood,0,28.6,7,2,1,6,2,23.5,17,2,0.0,0,4,4,10,28:35,-19,1,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,19.5
Joe Johnson,0,0.0,4,0,3,5,0,16.7,6,2,0.0,0,1,3,2,24:14,-8,0,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,10.0
Alec Burks,0,0.0,2,0,1,3,0,20.0,5,1,0.0,0,1,2,2,12:28,-14,1,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,6.5
Ekpe Udoh,3,0.0,0,0,1,1,0,0.0,1,0,75.0,4,0,1,3,12:18,-11,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,1.0
Royce ONeale,4,20.0,5,0,1,2,1,20.0,5,0,100,4,1,2,7,12:17,-5,1,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,11.5
Naz MitrouLong,0,100,1,0,0,0,1,100,1,0,0.0,0,1,0,3,0:31,5,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,5.0
Rudy Gobert,NA,NA,NA,NA,NA,NA,NA,NA,INJURY/ILLNESS,NA,NA,NA,,NA,NA,DND,NA,NA,NA,NA,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,NA
Thabo Sefolosha,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,NA
Wilson Chandler,5,0.0,3,2,4,7,0,45.5,11,1,100,5,5,6,15,33:30,16,1,1,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,19.5
Nikola Jokic,4,33.3,3,1,5,7,1,40.0,10,2,100,4,4,5,13,25:33,11,5,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,27.5
Mason Plumlee,1,0.0,0,0,2,8,0,66.7,6,3,33.3,3,4,5,9,20:23,-1,3,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,20.5
Gary Harris,0,50.0,6,1,3,2,3,50.0,12,0,0.0,0,6,2,15,36:01,17,5,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,29.5
Jamal Murray,1,50.0,6,4,0,8,3,60.0,15,2,100,1,9,6,22,35:18,13,2,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,37.0
Will Barton,0,25.0,4,1,2,6,1,18.2,11,1,0.0,0,2,5,5,36:01,17,5,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,19.5
Trey Lyles,1,25.0,4,0,1,8,1,63.6,11,0,33.3,3,7,8,16,27:31,15,0,0,1,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,28.0
Torrey Craig,5,0.0,2,0,4,7,0,0.0,3,1,100,5,0,6,5,21:07,11,2,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,10.0
Emmanuel Mudiay,1,100,2,0,0,0,2,100,2,0,100,1,2,0,7,1:32,7,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,10.0
Richard Jefferson,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1:32,7,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,0.0
Malik Beasley,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1:32,7,0,0,0,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,0.0
Darrell Arthur,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,NA
Kenneth Faried,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",503,20,14,25,24,28,22,26,31,107,83,"Davis""""","Maddox""""",Ervin,DENVER,UTA,DEN,NA
Dillon Brooks,0,0.0,4,0,4,1,0,30.0,10,0,0.0,0,3,1,6,32:60,-2,1,0,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,11.5
Brandan Wright,1,0.0,0,0,3,5,0,60.0,5,0,100,1,3,5,7,18:54,-12,1,2,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,21.5
Marc Gasol,10,0.0,4,4,1,6,0,25.0,16,1,90.9,11,4,5,18,37:48,-12,0,4,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,25.0
Andrew Harrison,1,25.0,4,0,6,2,1,35.7,14,0,25.0,4,5,2,12,30:53,-8,1,1,2,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,25.5
Tyreke Evans,3,40.0,5,1,3,5,2,45.5,22,1,75.0,4,10,4,25,36:31,11,5,1,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,43.5
Kobi Simmons,2,0.0,2,1,3,5,0,40.0,5,1,100,2,2,4,6,26:24,-2,2,1,2,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,20.0
Jarell Martin,0,0.0,0,0,4,6,0,55.6,9,4,0.0,0,5,2,10,26:38,-1,0,1,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,22.0
James Ennis,7,0.0,1,3,1,5,0,66.7,3,2,100,7,2,3,11,21:09,6,2,0,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,12.0
Deyonta Davis,0,0.0,0,1,3,3,0,33.3,3,1,0.0,0,1,2,2,8:43,10,0,1,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,7.0
Mario Chalmers,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
Vincent Hunter,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
Ben McLemore,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
Ivan Rabb,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
TJ Warren,3,0.0,1,0,3,0,0,50.0,14,0,60.0,5,7,0,17,29:58,6,0,0,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,14.0
Marquese Chriss,2,0.0,0,5,4,13,0,66.7,3,1,50.0,4,2,12,6,29:19,11,0,1,2,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,21.0
Tyson Chandler,1,0.0,0,1,4,6,0,75.0,4,1,50.0,2,3,5,7,17:50,2,2,1,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,17.0
Devin Booker,11,33.3,9,5,6,5,3,42.9,21,0,91.7,12,9,5,32,33:58,10,6,0,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,39.0
Tyler Ulis,0,100,2,1,3,3,2,37.5,8,1,0.0,0,3,2,8,27:21,11,6,0,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,26.0
Alex Len,4,0.0,0,2,3,6,0,66.7,6,2,66.7,6,4,4,12,29:55,-1,4,2,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,24.0
Troy Daniels,0,66.7,3,1,1,0,2,50.0,4,0,0.0,0,2,0,6,20:06,-4,1,1,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,13.5
Isaiah Canaan,4,0.0,1,2,1,1,0,0.0,2,0,100,4,0,1,4,20:39,-8,4,0,1,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,8.0
Dragan Bender,0,20.0,5,0,2,4,1,16.7,6,0,0.0,0,1,4,3,18:20,-9,1,0,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,10.5
Josh Jackson,2,0.0,1,2,2,3,0,25.0,4,1,100,2,1,2,4,12:34,-8,0,0,0,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,3.0
Jared Dudley,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
Greg Monroe,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",504,19,34,23,21,29,28,19,23,99,97,"Ayotte""""","Williams""""",Van,PHOENIX,MEM,PHX,NA
Garrett Temple,3,0.0,1,0,1,3,0,50.0,6,1,100,3,3,2,9,21:46,-7,2,2,0,"DEC 26, 2017",505,30,23,20,22,30,41,24,27,122,95,"Garretson""""","Kennedy""""",Cutler,LA,SAC,LAC,18.0
Zach Randolph,1,0.0,1,0,1,5,0,28.6,14,2,50.0,2,4,3,9,21:03,-14,3,0,1,"DEC 26, 2017",505,30,23,20,22,30,41,24,27,122,95,"Garretson""""","Kennedy""""",Cutler,LA,SAC,LAC,20.5
