,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Denzel Valentine,2,25.0,4,0,3,4,1,50.0,10,1,100,2,5,3,13,27:38,3,2,0,1,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,23.0
Lauri Markkanen,0,33.3,3,0,0,7,1,14.3,7,2,0.0,2,1,5,3,19:53,-2,1,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,13.5
Robin Lopez,0,0.0,0,1,2,4,0,41.7,12,2,0.0,0,5,2,10,23:39,-17,2,1,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,19.0
Justin Holiday,4,25.0,4,1,2,3,1,33.3,15,0,80.0,5,5,3,15,32:33,-1,1,0,1,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,19.5
Kris Dunn,2,0.0,3,4,5,2,0,52.9,17,0,50.0,4,9,2,20,33:40,-2,12,2,4,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,52.0
Nikola Mirotic,2,50.0,8,0,1,8,4,50.0,18,2,50.0,4,9,6,24,28:07,11,1,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,39.5
David Nwaba,1,0.0,0,0,3,9,0,50.0,6,4,50.0,2,3,5,7,24:36,8,1,0,2,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,22.5
Jerian Grant,1,66.7,3,0,0,1,2,60.0,5,0,50.0,2,3,1,9,14:20,11,2,0,2,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,22.0
Paul Zipser,2,50.0,2,0,0,1,1,25.0,4,0,100,2,1,1,5,11:13,8,3,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,10.5
Bobby Portis,1,0.0,1,0,3,8,0,44.4,9,4,50.0,2,4,4,9,24:21,26,1,0,1,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,20.5
Cristiano Felicio,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
Quincy Pondexter,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
Khris Middleton,3,33.3,9,4,4,5,3,27.8,18,0,60.0,5,5,5,16,39:20,-11,3,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,24.5
Giannis Antetokounmpo,5,25.0,4,4,3,7,1,64.7,17,1,83.3,6,11,6,28,36:44,2,4,1,1,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,40.0
John Henson,1,0.0,0,2,2,6,0,50.0,6,2,100,1,3,4,7,20:36,2,2,3,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,22.0
Tony Snell,2,33.3,6,0,0,7,2,25.0,8,0,40.0,5,2,7,8,32:54,2,1,1,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,21.5
Eric Bledsoe,3,50.0,6,3,4,5,3,57.1,14,0,100,3,8,5,22,29:22,-3,6,0,1,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,39.0
DeAndre Liggins,0,0.0,1,0,2,2,0,50.0,2,0,0.0,0,1,2,2,16:30,-8,0,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,4.0
Malcolm Brogdon,4,0.0,3,1,4,6,0,63.6,11,1,100,4,7,5,18,29:56,-11,2,2,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,28.0
Thon Maker,0,0.0,1,1,0,3,0,0.0,2,0,0.0,0,0,3,0,17:07,-9,0,1,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,5.0
Matthew Dellavedova,0,100,1,2,2,0,1,40.0,5,0,0.0,0,2,0,5,17:31,-9,5,0,0,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,12.5
Sterling Brown,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
Sean Kilpatrick,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
Jason Terry,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
DJ Wilson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"DEC 26, 2017",501,22,34,27,32,31,22,30,23,106,115,"Malloy""""","Ford""""",Voyard-Tadal,CHICAGO,CHI,MIL,NA
DeMarre Carroll,0,0.0,3,1,2,4,0,10.0,10,1,0.0,0,1,3,2,27:24,-4,3,0,2,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,15.5
Rondae HollisJefferson,2,100,1,1,1,6,1,38.5,13,1,100,2,5,5,13,27:00,-4,3,0,1,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,25.5
Tyler Zeller,0,0.0,1,1,2,8,0,44.4,9,2,0.0,0,4,6,8,18:53,-6,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,16.5
Allen Crabbe,1,57.1,7,5,1,5,4,50.0,10,0,100,1,5,5,15,31:56,-7,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,23.5
Spencer Dinwiddie,0,100,2,0,3,0,2,55.6,9,0,0.0,0,5,0,12,26:29,-4,7,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,26.5
Joe Harris,0,25.0,4,1,0,1,1,40.0,5,0,0.0,0,2,1,5,25:58,-13,2,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,10.0
Jarrett Allen,0,0.0,1,2,3,9,0,54.5,11,5,0.0,0,6,4,12,21:17,-7,1,0,0,"DEC 26, 2017",502,16,28,25,28,19,31,30,29,109,97,"Collins""""","Guthrie""""",Taylor,SAN,BKN,SAS,20.5
