Player,Years,Pos,Ht,Wt
"Sean Kilpatrick",5,G,6-4,210
"Maxi Kleber",2,F,6-10,220
"Furkan Korkmaz",2,G,6-7,185
"Luke Kornet",2,F,7-1,250
"Kyle Korver",16,G-F,6-7,212
"Kosta Koufos",11,C,7-0,265
"Kyle Kuzma",2,F,6-9,220
"Mindaugas Kuzminskas",3,F,6-9,215
"Skal Labissiere",3,F,6-11,225
"Jeremy Lamb",7,G-F,6-5,185
"Shane Larkin",6,G,5-11,175
"Joffrey Lauvergne",5,C-F,6-11,220
"Zach LaVine",5,G,6-5,189
"Jake Layman",3,F,6-9,210
"T.J. Leaf",2,F,6-10,222
"Courtney Lee",11,G,6-5,200
"Damion Lee",2,G,6-6,210
"Walt Lemon Jr.",2,G,6-3,180
"Alex Len",6,C,7-1,260
"Kawhi Leonard",8,F,6-7,230
"Meyers Leonard",7,C-F,7-1,245
"Jon Leuer",8,F,6-10,228
"Caris LeVert",3,G-F,6-7,203
"DeAndre Liggins",8,G,6-6,209
"Damian Lillard",7,G,6-3,195
"Jeremy Lin",9,G,6-3,200
"Shaun Livingston",15,G,6-7,192
"Kevon Looney",4,F-C,6-9,220
"Brook Lopez",11,C,7-0,275
"Robin Lopez",11,C,7-0,255
"Kevin Love",11,F,6-10,251
"Kyle Lowry",13,G,6-0,205
"Timothe Luwawu-Cabarrot",3,F,6-6,205
"Tyler Lydon",2,F,6-10,215
"Trey Lyles",4,F,6-10,234
"Shelvin Mack",8,G,6-3,203
"Josh Magette",2,G,6-1,160
"Ian Mahinmi",12,C,6-11,250
"Thon Maker",3,F-C,7-1,216
"Boban Marjanovic",4,C,7-3,290
"Lauri Markkanen",2,F-C,7-0,230
"Jarell Martin",4,F,6-10,239
"Frank Mason",2,G,6-0,189
"Mangok Mathiang",2,C-F,6-10,230
"Wesley Matthews",10,G,6-5,220
"Luc Mbah a Moute",11,F,6-8,230
"James Michael McAdoo",5,F,6-9,230
"Patrick McCaw",3,G,6-7,185
"CJ McCollum",6,G,6-3,190
"T.J. McConnell",4,G,6-2,200
"Erik McCree",2,F,6-8,225
"Chris McCullough",4,F,6-11,200
"Doug McDermott",5,F,6-8,225
"JaVale McGee",11,C,7-0,270
"Rodney McGruder",3,G,6-4,205
"Trey McKinney-Jones",2,G,6-5,214
"Alfonzo McKinnie",2,F,6-8,215
"Ben McLemore",6,G,6-5,195
"Josh McRoberts",12,F,6-10,240
"Jodie Meeks",10,G,6-4,210
"Salah Mejri",4,C,7-1,245
"Jordan Mickey",4,F,6-8,235
"Khris Middleton",7,F-G,6-8,234
"C.J. Miles",14,G-F,6-6,225
"Darius Miller",7,F,6-8,235
"Malcolm Miller",2,F,6-7,210
"Patty Mills",10,G,6-0,185
"Paul Millsap",13,F,6-8,246
"Nikola Mirotic",5,F,6-10,220
"Donovan Mitchell",2,G,6-3,211
"Naz Mitrou-Long",2,G,6-4,209
"Malik Monk",2,G,6-3,200
"Greg Monroe",9,C-F,6-11,265
"Luis Montero",4,G,6-7,185
"Ben Moore",2,F,6-7,203
"E'Twaun Moore",8,G,6-4,191
"Eric Moreland",5,F-C,6-10,238
"Jaylen Morris",2,G,6-5,185
"Marcus Morris",8,F,6-9,235
"Markieff Morris",8,F,6-10,245
"Monte Morris",2,G,6-3,175
"Johnathan Motley",2,F,6-9,238
"Timofey Mozgov",9,C,7-1,275
"Emmanuel Mudiay",4,G,6-5,200
"Shabazz Muhammad",6,F-G,6-6,223
"Xavier Munford",4,G,6-2,180
"Dejounte Murray",3,G,6-5,170
"Jamal Murray",3,G,6-4,207
"Mike Muscala",6,F-C,6-11,240
"Abdel Nader",2,F,6-6,230
"Larry Nance",4,F-C,6-9,230
"Shabazz Napier",5,G,6-1,175
"Jameer Nelson",15,G,6-0,190
"Raul Neto",4,G,6-1,179
"Georges Niang",3,F,6-8,230
"Joakim Noah",12,C,6-11,230
"Nerlens Noel",5,C-F,6-11,228
"Lucas Nogueira",5,C,7-0,241
"Dirk Nowitzki",21,F,7-0,245
"Frank Ntilikina",2,G,6-5,190
"Jusuf Nurkic",5,C,7-0,280
"David Nwaba",3,G,6-4,209
"Johnny O'Bryant",5,F-C,6-9,257
"Royce O'Neale",2,F,6-6,215
"Kyle O'Quinn",7,F-C,6-10,250
"Semi Ojeleye",2,F,6-7,241
"Emeka Okafor",15,C-F,6-10,252
"Jahlil Okafor",4,C-F,6-11,275
"Victor Oladipo",6,G,6-4,210
"Kelly Olynyk",6,C-F,7-0,238
"Chinanu Onuaku",3,F-C,6-10,245
"Cedi Osman",2,F,6-8,210
"Kelly Oubre",4,F,6-7,205
"Zaza Pachulia",16,C,6-11,270
