Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year
Alfonzo McKinnie,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2:21,-1,0,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,0,2019
Jonas Jerebko,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,6:10,0,0,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,2,2019
Jacob Evans,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,NA,2019
Khris Middleton,2,50,6,2,3,9,3,50,14,1,100,2,7,8,19,32:46:00,2,4,1,2,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,45,2019
Giannis Antetokounmpo,7,0,3,8,5,18,0,42.9,21,3,58.3,12,9,15,25,34:46:00,11,8,1,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,43,2019
Brook Lopez,4,40,5,2,3,3,2,57.1,7,0,100,4,4,3,14,21:27,8,1,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,19.5,2019
Malcolm Brogdon,0,33.3,6,4,3,3,2,44.4,9,0,0,0,4,3,10,38:00:00,1,6,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,25,2019
Eric Bledsoe,0,60,5,2,4,4,3,53.8,13,2,0,0,7,2,17,33:32:00,4,3,1,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,32.5,2019
Donte DiVincenzo,0,50,4,1,0,2,2,50,6,1,0,0,3,1,8,22:05,-9,1,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,17.5,2019
Ersan Ilyasova,0,33.3,3,0,6,9,1,66.7,9,1,0,0,6,8,13,28:59:00,-10,2,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,27,2019
John Henson,2,0,0,2,1,6,0,33.3,3,2,100,2,1,4,4,12:01,2,0,1,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,9,2019
Tony Snell,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,11:20,1,1,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,3.5,2019
Christian Wood,0,100,1,0,0,1,1,100,1,0,0,0,1,1,3,4:57,-3,0,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,6,2019
Sterling Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:07,-2,0,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,0,2019
Pat Connaughton,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,NA,2019
Matthew Dellavedova,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,NA,2019
Nicolas Batum,0,25,4,2,1,7,1,25,8,1,0,0,2,6,5,31:49:00,-4,3,2,2,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,28.5,2019
Marvin Williams,0,16.7,6,1,2,9,1,28.6,7,1,0,2,2,8,5,25:51:00,-4,1,4,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,28.5,2019
Cody Zeller,2,100,1,0,3,3,1,100,1,0,100,2,1,3,5,21:06,-11,1,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,12.5,2019
Jeremy Lamb,0,50,4,0,2,2,2,36.4,11,2,0,0,4,0,10,20:48,-6,1,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,20.5,2019
Kemba Walker,4,53.8,13,3,0,2,7,51.7,29,1,80,5,15,1,41,38:39:00,-1,4,0,2,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,62,2019
Willy Hernangomez,3,0,1,1,3,5,0,60,5,1,60,5,3,4,9,12:16,2,0,0,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,13,2019
Michael KiddGilchrist,4,0,0,1,3,6,0,50,6,3,66.7,6,3,3,10,21:40,3,1,1,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,15.5,2019
Malik Monk,0,50,8,0,1,4,4,43.8,16,0,0,0,7,4,18,33:34:00,5,2,2,1,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,42,2019
Miles Bridges,1,0,1,1,2,0,0,0,1,0,50,2,0,0,1,14:30,6,1,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,0.5,2019
Tony Parker,0,0,0,2,2,3,0,50,8,0,0,0,4,3,8,19:48,5,7,0,0,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,19.5,2019
Dwayne Bacon,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,NA,2019
Bismack Biyombo,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,NA,2019
Frank Kaminsky,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,3,36,31,26,20,23,31,29,29,112,113,"Corbin""""","Foster""""",Richardson,MILWAUKEE,MIL,CHA,NA,2019
Joe Harris,0,14.3,7,2,2,6,1,42.9,14,0,0,0,6,6,13,37:08:00,-2,5,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,29.5,2019
Jared Dudley,1,0,4,0,5,3,0,0,5,2,50,2,0,1,1,35:51:00,-8,3,0,3,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,16.5,2019
Jarrett Allen,3,66.7,3,2,4,10,2,60,10,2,75,4,6,8,17,30:10:00,-9,0,4,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,38,2019
Caris LeVert,7,0,2,3,2,4,0,55.6,18,1,87.5,8,10,3,27,33:60,-10,4,1,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,33,2019
DAngelo Russell,1,25,4,2,1,2,1,33.3,9,0,50,2,3,2,8,24:57:00,-9,5,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,19.5,2019
Spencer Dinwiddie,3,0,3,4,1,4,0,55.6,18,0,60,5,10,4,23,32:17:00,6,6,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,32,2019
Treveon Graham,0,0,2,1,4,2,0,0,2,0,0,0,0,2,0,17:25,6,1,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,5.5,2019
Ed Davis,0,0,0,2,2,7,0,100,4,0,0,1,4,7,8,17:36,8,3,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,20.5,2019
Rodions Kurucs,0,50,2,1,2,1,1,50,2,0,0,0,1,1,3,10:36,3,1,0,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,6.5,2019
Kenneth Faried,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Dzanan Musa,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Theo Pinson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Luke Kennard,0,100,1,1,1,4,1,60,5,0,0,0,3,4,7,19:21,-1,0,1,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,15,2019
Blake Griffin,9,100,1,1,0,8,1,47.1,17,2,81.8,11,8,6,26,34:17:00,8,6,0,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,35,2019
Andre Drummond,3,33.3,3,4,5,20,1,47.6,21,9,75,4,10,11,24,32:11:00,-9,2,1,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,45,2019
Bruce Brown,0,0,2,1,4,2,0,0,3,0,0,0,0,2,0,18:52,6,1,1,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,5.5,2019
Reggie Jackson,3,22.2,9,2,1,2,2,35,20,1,100,3,7,1,19,35:01:00,3,4,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,29,2019
Langston Galloway,2,0,3,0,0,3,0,40,5,0,100,2,2,3,6,33:00:00,-5,1,0,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,8.5,2019
Glenn Robinson,0,0,1,1,0,0,0,66.7,3,0,0,0,2,0,4,20:04,0,0,1,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,9,2019
Ish Smith,0,33.3,3,1,4,0,1,45.5,11,0,0,0,5,0,11,28:46:00,4,3,0,0,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,16.5,2019
Zaza Pachulia,2,0,0,2,5,7,0,33.3,6,2,100,2,2,5,6,14:43,9,4,1,2,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,24,2019
Zach Lofton,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3:45,0,0,0,1,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,2,2019
Reggie Bullock,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Jose Calderon,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Henry Ellenson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Stanley Johnson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Jon Leuer,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,4,29,22,25,24,24,27,32,20,103,100,"Mott""""","Dalen""""",Lane,DETROIT,BKN,DET,NA,2019
Chandler Parsons,0,0,5,0,3,1,0,33.3,9,0,0,0,3,1,6,22:33,-19,0,1,1,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,13,2019
JaMychal Green,0,50,2,1,2,7,1,57.1,7,2,0,0,4,5,9,24:59:00,-29,2,0,2,17-Oct-18,5,16,23,19,25,27,29,20,35,111,83,"Brothers""""","Taylor""""",Van,INDIANA,MEM,IND,26,2019
