n,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Cody Zeller,1,0,0,3,4,8,0,50,4,2,50,2,2,6,5,27:14:00,3,4,1,0,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,18
Jeremy Lamb,2,14.3,7,0,1,9,1,41.7,12,0,100,2,5,9,13,25:06:00,1,2,0,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,28
Kemba Walker,5,25,8,2,3,5,2,43.8,16,1,100,5,7,4,21,31:10:00,2,6,0,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,35
Michael KiddGilchrist,3,0,2,1,3,9,0,30,10,3,100,3,3,6,9,24:49:00,-25,0,0,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,17
Willy Hernangomez,0,100,1,1,3,5,1,25,4,3,0,0,1,2,3,12:19,-3,0,1,0,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,12
Malik Monk,3,33.3,12,3,3,0,4,46.7,15,0,100,3,7,0,21,23:00,-3,2,0,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,29
Tony Parker,6,50,2,1,1,1,1,41.7,12,1,85.7,7,5,0,17,23:24,-2,4,0,0,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,19
Miles Bridges,0,0,3,1,2,5,0,33.3,6,0,0,0,2,5,4,19:21,-3,2,1,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,17
Dwayne Bacon,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,NA
Bismack Biyombo,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,NA
Frank Kaminsky,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""""","Zarba""""",Nansel,OKLAHOMA,OKC,CHA,NA
Torrey Craig,0,50,2,1,2,6,1,60,5,4,0,0,3,2,7,18:12,1,1,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,15.5
Paul Millsap,3,100,1,0,3,6,1,66.7,9,2,75,4,6,4,16,20:50,11,1,0,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,25.5
Nikola Jokic,0,0,1,2,2,6,0,40,5,1,0,0,2,5,4,22:21,9,3,1,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,18.5
Gary Harris,5,20,5,1,0,3,1,33.3,12,0,100,5,4,3,14,27:55:00,14,3,2,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,26.5
Jamal Murray,0,0,1,1,0,1,0,62.5,8,0,0,0,5,1,10,22:44,10,3,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,14.5
Monte Morris,0,100,1,1,1,3,1,42.9,7,1,0,0,3,2,7,22:11,5,3,0,2,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,21.5
Mason Plumlee,1,0,0,1,4,6,0,62.5,8,1,100,1,5,5,11,21:43,16,3,1,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,25.5
Malik Beasley,0,25,4,1,2,0,1,25,8,0,0,0,2,0,5,23:59,9,4,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,12
Trey Lyles,2,0,3,2,1,8,0,38.5,13,2,100,2,5,6,12,24:38:00,10,1,1,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,23.5
Juancho Hernangomez,6,62.5,8,2,1,4,5,60,10,2,85.7,7,6,2,23,28:59:00,18,0,2,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,38
Tyler Lydon,1,0,0,0,1,0,0,0,0,0,50,2,0,0,1,3:56,-6,0,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,0
DeVaughn AkoonPurcell,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2:32,-2,0,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,1
Cedi Osman,1,33.3,6,2,1,3,2,38.5,13,0,100,1,5,3,13,29:47:00,-11,0,1,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,20
Sam Dekker,0,0,2,2,3,4,0,30,10,3,0,0,3,1,6,34:30:00,-12,1,0,3,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,18.5
Tristan Thompson,2,0,0,0,1,7,0,66.7,6,2,100,2,4,5,10,28:14:00,-17,4,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,21
Rodney Hood,6,0,3,0,2,4,0,11.1,9,0,100,6,1,4,8,27:32:00,-15,4,1,2,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,21
George Hill,0,100,2,2,4,1,2,57.1,7,1,0,0,4,0,10,23:49,-12,3,0,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,20.5
Collin Sexton,1,100,1,4,2,2,1,45.5,11,1,100,1,5,1,12,25:04:00,-9,2,0,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,17
Larry Nance,2,0,0,0,4,3,0,37.5,8,2,100,2,3,1,8,18:34,-10,1,1,3,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,22.5
Jordan Clarkson,3,0,3,0,3,4,0,50,14,3,100,3,7,1,17,19:43,-13,0,1,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,21
Kyle Korver,0,0,1,3,0,3,0,0,1,0,0,0,0,3,0,18:12,-2,2,0,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,6
David Nwaba,2,0,0,0,1,2,0,100,1,0,100,2,1,2,4,9:49,-1,1,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,5.5
Ante Zizic,1,0,0,0,1,2,0,33.3,3,1,50,2,1,1,3,4:46,7,0,0,0,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,4
Channing Frye,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,NA
JR Smith,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""""","Fraher""""",Goble,DENVER,DEN,CLE,NA
Tobias Harris,2,66.7,3,1,1,8,2,62.5,16,0,100,2,10,8,24,33:22:00,1,3,1,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,40.5
Danilo Gallinari,11,50,8,1,1,8,4,35.7,14,0,100,11,5,8,25,35:28:00,11,1,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,30.5
Marcin Gortat,0,0,0,2,4,2,0,0,1,1,0,0,0,1,0,9:08,-7,1,1,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,4.5
Avery Bradley,0,0,1,2,1,2,0,16.7,6,1,0,0,1,1,2,36:20:00,4,1,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,6.5
Patrick Beverley,2,0,4,2,6,4,0,14.3,7,2,50,4,1,2,4,30:23:00,0,4,0,2,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,16
Montrezl Harrell,1,0,0,0,5,0,0,60,5,0,50,2,3,0,7,14:59,-7,2,1,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,15
Shai GilgeousAlexander,1,0,0,1,2,2,0,37.5,8,0,100,1,3,2,7,17:31,-18,2,1,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,13
Mike Scott,0,100,1,1,3,4,1,100,1,1,0,0,1,3,3,9:51,-14,0,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,8
Lou Williams,6,40,5,4,1,1,2,47.4,19,1,85.7,7,9,0,26,24:23:00,-16,2,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,27
Milos Teodosic,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,5:03,-6,2,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,2
Boban Marjanovic,5,0,0,3,4,11,0,71.4,7,2,83.3,6,5,9,15,22:39,5,1,3,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,31.5
Tyrone Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:29,0,0,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,0
Jerome Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:23,2,0,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,0
Robert Covington,0,100,2,1,4,7,2,80,5,0,0,0,4,7,10,33:25:00,6,2,3,4,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,44
Dario Saric,2,33.3,3,1,5,3,1,12.5,8,1,100,2,1,2,5,24:17:00,-4,2,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,10
Joel Embiid,6,37.5,8,2,5,13,3,50,32,4,66.7,9,16,9,41,33:08:00,16,1,4,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,65.5
Markelle Fultz,2,0,0,1,1,9,0,50,10,3,50,4,5,6,12,21:01,16,5,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,28.5
Ben Simmons,2,0,0,2,3,3,0,54.5,11,1,100,2,6,2,14,34:41:00,-2,11,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,32.5
JJ Redick,7,50,6,4,2,2,3,33.3,12,1,87.5,8,4,1,18,34:38:00,6,4,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,21
Amir Johnson,1,0,0,2,2,3,0,66.7,3,0,100,1,2,3,5,11:53,-6,1,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,6.5
Landry Shamet,0,50,6,0,3,1,3,62.5,8,0,0,1,5,1,13,23:14,0,0,0,1,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,23
Mike Muscala,1,50,2,1,5,2,1,25,4,0,100,1,1,2,4,23:43,13,3,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,10.5
Jonah Bolden,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,NA
Furkan Korkmaz,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,NA
TJ McConnell,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""""","Twardoski""""",Adair,PHILADELPHIA,LAC,PHI,NA
Iman Shumpert,0,28.6,7,0,3,4,2,37.5,8,0,0,0,3,4,8,24:28:00,13,3,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,26.5
Nemanja Bjelica,2,60,5,3,5,2,3,63.6,11,0,100,2,7,2,19,23:58,18,3,0,2,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,32.5
Willie CauleyStein,0,0,0,2,3,6,0,75,8,1,0,1,6,5,12,25:07:00,23,0,0,3,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,25
Buddy Hield,2,71.4,7,3,4,5,5,58.8,17,0,66.7,3,10,5,27,33:10:00,40,6,1,2,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,55
DeAaron Fox,10,75,4,3,3,10,3,69.2,13,3,90.9,11,9,7,31,33:55:00,34,15,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,59.5
Marvin Bagley,4,0,0,1,2,5,0,70,10,4,100,4,7,1,18,24:07:00,20,0,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,21
Frank Mason,4,0,4,0,3,1,0,0,6,0,66.7,6,0,1,4,12:39,-7,5,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,11.5
Kosta Koufos,0,0,0,0,2,4,0,57.1,7,1,0,0,4,3,8,11:50,7,0,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,18
Justin Jackson,2,0,2,0,0,0,0,40,5,0,66.7,3,2,0,6,22:39,13,3,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,8.5
Yogi Ferrell,0,0,4,0,1,2,0,0,5,0,0,0,0,2,0,10:47,-2,3,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,9.5
Ben McLemore,0,100,1,1,3,0,1,50,2,0,0,0,1,0,3,6:22,2,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,4
Skal Labissiere,2,0,1,1,0,4,0,66.7,3,0,100,2,2,4,6,5:29,-3,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,7
Harry Giles,0,0,0,0,0,3,0,66.7,3,1,0,0,2,2,4,5:29,-3,0,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,10
Taurean Prince,0,14.3,7,4,2,7,1,25,12,0,0,0,3,7,7,28:40:00,-20,6,0,2,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,27
Vince Carter,0,33.3,3,1,1,2,1,33.3,3,0,0,0,1,2,3,16:18,-13,0,1,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,9
Alex Len,7,0,1,3,3,6,0,40,5,3,70,10,2,3,11,22:14,-17,1,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,8.5
Kent Bazemore,0,40,5,0,3,3,2,50,12,2,0,0,6,1,14,25:20:00,-14,3,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,31.5
Trae Young,2,0,1,8,3,3,0,46.2,13,0,66.7,3,6,3,14,27:02:00,-11,10,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,22
Omari Spellman,0,0,1,0,1,2,0,33.3,3,1,0,0,1,1,2,20:27,-10,3,1,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,11.5
Kevin Huerter,0,100,1,0,0,0,1,100,1,0,0,0,1,0,3,1:27,-2,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,5
Dewayne Dedmon,2,0,1,0,5,4,0,66.7,3,0,100,2,2,4,6,12:00,-11,0,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,14
Jeremy Lin,5,28.6,7,4,4,1,2,61.5,13,0,71.4,7,8,1,23,23:11,-28,1,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,26.5
DeAndre Bembry,2,50,2,2,3,5,1,62.5,8,1,50,4,5,4,13,24:32:00,-20,2,1,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,22
Alex Poythress,3,0,0,0,2,8,0,50,6,3,75,4,3,5,9,16:56,-6,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,14
Tyler Dorsey,2,0,2,0,1,2,0,50,8,0,50,4,4,2,10,16:43,-6,0,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,13
Miles Plumlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5:10,3,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""""","Tiven""""",Goldenberg,SACRAMENTO,SAC,ATL,0
Khris Middleton,1,30,10,3,2,4,3,33.3,18,1,100,1,6,3,16,34:17:00,-11,5,0,2,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,35.5
Giannis Antetokounmpo,7,0,1,4,2,11,0,59.1,22,2,63.6,11,13,9,33,36:17:00,-4,2,0,3,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,45
Brook Lopez,0,0,3,2,1,5,0,25,4,0,0,0,1,5,2,23:30,-5,0,2,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,14
Malcolm Brogdon,2,66.7,3,2,2,6,2,60,10,3,100,2,6,3,16,28:59:00,-2,2,1,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,28
Eric Bledsoe,6,50,2,2,4,1,1,33.3,9,0,66.7,9,3,1,13,32:51:00,-12,7,0,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,21.5
Ersan Ilyasova,2,0,1,0,3,5,0,50,6,2,100,2,3,3,8,26:21:00,-4,0,0,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,14
John Henson,1,50,2,0,0,3,1,50,4,0,50,2,2,3,6,9:55,-4,0,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,10
Donte DiVincenzo,1,25,4,0,2,5,1,50,6,0,100,1,3,5,8,24:24:00,16,2,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,17
Tony Snell,2,50,2,1,3,2,1,75,4,0,100,2,3,2,9,14:33,4,0,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,10
Pat Connaughton,0,0,1,0,1,3,0,50,2,0,0,0,1,3,2,8:54,2,2,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,8
Sterling Brown,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,NA
Matthew Dellavedova,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,NA
Thon Maker,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,NA
Gordon Hayward,3,60,5,1,1,4,3,54.5,11,2,100,3,6,2,18,26:38:00,4,5,1,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,34.5
Semi Ojeleye,0,50,4,0,4,5,2,66.7,6,0,0,0,4,5,10,22:28,9,0,0,2,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,25
Al Horford,2,36.4,11,3,0,5,4,40,15,1,100,2,6,4,18,31:58:00,11,8,1,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,41
Jayson Tatum,2,66.7,3,2,4,6,2,44.4,9,1,100,2,4,5,12,31:39:00,14,4,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,24
Kyrie Irving,2,50,12,2,2,3,6,50,20,1,100,2,10,2,28,33:17:00,12,7,2,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,58.5
Terry Rozier,0,25,4,1,4,7,1,27.3,11,0,0,0,3,7,7,26:09:00,-12,3,2,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,25.5
Marcus Morris,0,62.5,8,2,3,5,5,54.5,11,2,0,0,6,3,17,24:21:00,-8,1,1,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,37.5
Marcus Smart,0,0,3,1,4,4,0,25,4,1,0,0,1,3,2,27:57:00,-6,0,1,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,11
Aron Baynes,2,20,5,0,1,3,1,20,5,0,50,4,1,3,5,15:33,-4,2,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,11
Robert Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:03,0,0,0,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""""","Lindsay""""",Ervin,BOSTON,MIL,BOS,0
