Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1QH,2QH,3QH,4QH,1QA,2QA,3QA,4QA,Total_H,Total_A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt,Last_Game_TOV,AverageTOV,Last_Game_REB,AverageREB,Last_Game_3PM,Average3PM,Last_Game_FGM,AverageFGM,Last_Game_PTS,AveragePTS,Last_Game_AST,AverageAST,Last_Game_STL,AverageSTL,Last_Game_BLK,AverageBLK
Jeremy Lamb,0,50,4,0,2,2,2,36.4,11,2,0,0,4,0,10,20:48,-6,1,0,1,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,21,2019,7,G-F,5-Jun,185,,,,,,,,,,,,,,,,
Zach LaVine,6,28.6,7,5,5,5,2,57.9,19,0,86,7,11,5,30,32:42:00,-10,3,3,0,10/18/2018,14,41,17,18,32,38,27,37,25,127,108,"Mauer""","Fraher""",Buchert,PHILADELPHIA,CHI,PHI,42,2019,5,G,5-Jun,189,,,,,,,,,,,,,,,,
Jake Layman,0,25,4,1,1,2,1,25,4,0,0,0,1,2,3,12:40,-3,0,0,1,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,9,2019,3,F,9-Jun,210,,,,,,,,,,,,,,,,
Alex Len,1,0,2,3,4,4,0,50,6,2,50,2,3,2,7,21:27,-14,2,1,0,10/17/2018,7,24,25,35,23,23,49,34,20,126,107,"Garretson""","Goble""",Kogut,NEW,ATL,NYK,13,2019,6,C,1-Jul,260,,,,,,,,,,,,,,,,
Kawhi Leonard,5,33.3,3,2,3,12,1,40.9,22,1,83,6,9,11,24,37:15:00,13,2,0,0,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,34,2019,8,F,7-Jun,230,,,,,,,,,,,,,,,,
Meyers Leonard,0,0,0,1,1,4,0,0,0,1,0,0,0,3,0,8:02,8,4,0,1,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,12,2019,7,C-F,1-Jul,245,,,,,,,,,,,,,,,,
Caris LeVert,7,0,2,3,2,4,0,55.6,18,1,88,8,10,3,27,33:60,-10,4,1,1,10/17/2018,4,29,22,25,24,24,27,32,20,103,100,"Mott""","Dalen""",Lane,DETROIT,BKN,DET,33,2019,3,G-F,7-Jun,203,,,,,,,,,,,,,,,,
Damian Lillard,8,28.6,7,3,0,6,2,42.9,21,1,100,8,9,5,28,35:24:00,-8,4,1,1,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,39,2019,7,G,3-Jun,195,,,,,,,,,,,,,,,,
Jeremy Lin,2,0,2,2,0,5,0,50,6,0,100,2,3,5,8,13:42,-5,1,0,1,10/17/2018,7,24,25,35,23,23,49,34,20,126,107,"Garretson""","Goble""",Kogut,NEW,ATL,NYK,14,2019,9,G,3-Jun,200,,,,,,,,,,,,,,,,
Shaun Livingston,0,0,0,1,2,3,0,60,5,2,0,0,3,1,6,14:34,-3,1,0,1,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,13,2019,15,G,7-Jun,192,,,,,,,,,,,,,,,,
