Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1QH,2QH,3QH,4QH,1QA,2QA,3QA,4QA,Total_H,Total_A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt,Last_Game_TOV,AverageTOV,Last_Game_REB,AverageREB,Last_Game_3PM,Average3PM,Last_Game_FGM,AverageFGM,Last_Game_PTS,AveragePTS,Last_Game_AST,AverageAST,Last_Game_STL,AverageSTL,Last_Game_BLK,AverageBLK
Jonas Jerebko,4,0,1,0,0,6,0,0,2,0,100,4,0,6,4,15:21,7,2,0,0,10/28/2018,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,9,2019,10,F,10-Jun,231,0,0.4,7,4.6,2,1,3,2,8,7,0,1.6,0,0,0,0.4
Jonas Jerebko,0,100,2,1,5,5,2,100,4,1,0,0,4,4,10,19:40,5,2,0,1,10/29/2018,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,24,2019,10,F,10-Jun,231,0,0.4,6,5.2,0,1.4,0,2.6,4,8,2,2,0,0,0,0.6
Jonas Jerebko,2,40,5,1,4,2,2,50,6,1,100,2,3,1,10,16:42,9,3,1,2,10/31/2018,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,27,2019,10,F,10-Jun,231,1,0.4,5,4.6,2,1.2,4,2.4,10,7.4,2,2,0,0.2,1,0.8
Jonas Jerebko,3,0,2,1,0,4,0,28.6,7,2,100,3,2,2,7,13:59,-4,1,0,0,11/2/2018,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,9,2019,10,F,10-Jun,231,1,0.6,2,4.8,2,1.2,3,2.4,10,7.8,3,1.6,1,0.2,2,0.6
Amir Johnson,0,0,0,0,2,6,0,50,2,1,0,0,1,5,2,14:37,6,3,1,0,10/29/2018,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,16,2019,14,F-C,9-Jun,240,0,0,2,2.8,0,0,0,0.2,2,2,1,1.2,0,0.2,0,0
Amir Johnson,1,0,1,4,1,6,0,50,4,2,50,2,2,4,5,11:59,-4,1,1,1,10/30/2018,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,14,2019,14,F-C,9-Jun,240,0,0.8,6,3.6,0,0,1,0.6,2,2.6,3,1.4,1,0.4,0,0.2
Amir Johnson,1,0,0,2,2,3,0,66.7,3,0,100,1,2,3,5,11:53,-6,1,0,0,11/1/2018,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,7,2019,14,F-C,9-Jun,240,4,1.2,6,3.8,0,0,2,1,5,3.2,1,1.4,1,0.4,1,0.2
Stanley Johnson,0,20,5,6,5,5,1,44.4,9,1,0,0,4,4,9,34:34:00,9,4,0,0,10/30/2018,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,16,2019,4,F,7-Jun,245,3,2.2,3,3.6,3,1.4,6,3.4,16,8.4,2,1.8,0,0.2,1,0.6
Stanley Johnson,3,33.3,3,2,5,12,1,25,4,1,75,4,1,11,6,33:15:00,-2,2,0,1,10/31/2018,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,21,2019,4,F,7-Jun,245,6,2.4,5,4.6,1,1.2,4,2.8,9,7.6,4,2.2,0,0,0,0.8
Tyler Johnson,4,20,5,1,3,4,1,37.5,8,0,67,6,3,4,11,24:59:00,10,4,0,2,10/29/2018,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,24,2019,5,G,4-Jun,186,0,0.6,3,3.4,1,0.8,3,3.2,7,8.4,2,2.4,0,0.2,1,1.4
Tyler Johnson,1,50,2,2,3,2,1,71.4,7,0,33,3,5,2,12,26:13:00,-8,3,1,1,10/30/2018,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,24,2019,5,G,4-Jun,186,1,0.6,4,3,1,1,3,3.4,11,8.8,4,2.6,0,0.2,2,1.2
Nikola Jokic,4,50,4,0,4,9,2,37.5,8,1,100,4,3,8,12,28:57:00,5,10,2,0,10/29/2018,94,24,21,31,35,20,38,26,32,116,111,"Mauer""","Mott""",Buchert,DENVER,NOP,DEN,42,2019,4,C-F,10-Jun,250,6,2.2,11,10.8,1,1.4,9,7.2,24,21.6,3,7.2,1,0.8,1,1.2
Nikola Jokic,1,50,6,6,2,12,3,45,20,5,100,1,9,7,22,32:47:00,4,9,3,2,10/31/2018,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,62,2019,4,C-F,10-Jun,250,0,3.4,9,11,2,1.4,3,6.8,12,19,10,6.8,2,1.2,0,0.8
Nikola Jokic,0,0,1,2,2,6,0,40,5,1,0,0,2,5,4,22:21,9,3,1,1,11/1/2018,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,19,2019,4,C-F,10-Jun,250,6,3.4,12,10,3,1.4,9,5.8,22,15.2,9,6.2,3,1.4,2,1
Damian Jones,0,0,0,2,4,1,0,33.3,3,1,0,0,1,0,2,11:35,-6,1,2,1,10/28/2018,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,12,2019,3,F-C,Jul-00,245,0,0.6,0,2,0,0,1,2.4,2,6,3,1.6,2,1.2,2,0.6
Damian Jones,0,0,0,0,4,2,0,50,2,0,0,0,1,2,2,13:50,13,0,0,1,10/29/2018,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,7,2019,3,F-C,Jul-00,245,2,0.4,1,2,0,0,1,1.8,2,4.8,1,1.4,2,1,1,0.8
Damian Jones,0,0,0,0,3,3,0,75,4,1,0,0,3,2,6,10:37,0,0,0,0,10/31/2018,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,9,2019,3,F-C,Jul-00,245,0,0.4,2,1.8,0,0,1,1.4,2,3.4,0,1.2,0,0.8,1,0.8
Damian Jones,2,0,0,0,0,4,0,66.7,3,1,100,2,2,3,6,16:37,5,0,0,0,11/2/2018,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,8,2019,3,F-C,Jul-00,245,0,0.4,3,2,0,0,3,1.6,6,3.6,0,0.8,0,0.8,0,0.8
Derrick Jones,0,0,0,0,0,1,0,25,4,1,0,0,1,0,2,5:04,-1,0,0,0,10/30/2018,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,3,2019,3,F,7-Jun,190,2,1.2,3,3,1,0.8,5,4.2,12,11,2,1.2,2,1.2,1,0.8
Tyus Jones,0,50,2,0,1,0,1,33.3,3,0,0,0,1,0,3,15:47,7,1,0,1,10/29/2018,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,10,2019,4,G,2-Jun,195,1,0.6,2,1.8,2,1.4,4,2.6,12,7.4,4,3.2,0,0.2,2,1.8
Tyus Jones,0,28.6,7,0,2,5,2,27.3,11,2,0,0,3,3,8,40:30:00,-18,9,0,2,11/2/2018,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,37,2019,4,G,2-Jun,195,0,0.6,0,2,1,1.4,1,2.6,3,7.4,1,4.2,0,0,1,1.6
DeAndre Jordan,4,0,0,2,3,19,0,80,5,5,100,4,4,14,12,36:36:00,3,9,1,0,10/28/2018,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,42,2019,11,C,11-Jun,265,2,2.4,15,15.2,0,0,5,5.6,18,16.2,5,3.6,1,2,0,0.4
DeAndre Jordan,0,0,0,3,3,19,0,66.7,6,1,0,2,4,18,8,41:07:00,13,2,1,1,10/29/2018,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,33,2019,11,C,11-Jun,265,2,2.8,19,17,0,0,4,4.8,12,13.4,9,3.8,1,1.2,0,0.2
DeAndre Jordan,2,0,0,6,3,12,0,100,4,1,100,2,4,11,10,30:45:00,-14,0,1,1,10/31/2018,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,20,2019,11,C,11-Jun,265,3,3.4,19,16.2,0,0,4,4,8,11.8,2,3.8,1,1.2,1,0.4
DeAndre Jordan,0,0,0,1,3,10,0,40,5,2,0,0,2,8,4,32:17:00,-8,1,0,1,11/2/2018,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,18,2019,11,C,11-Jun,265,6,2.8,12,15,0,0,4,3.8,10,10.4,0,3.4,1,0.8,1,0.6
Cory Joseph,0,0,0,1,2,0,0,25,4,0,0,0,1,0,2,14:30,-20,0,0,0,10/29/2018,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,1,2019,8,G,3-Jun,193,1,1,5,3.8,0,1,3,2.8,7,7,5,3.8,0,0,3,1.8
Cory Joseph,0,0,1,0,1,2,0,42.9,7,1,0,0,3,1,6,31:39:00,3,6,1,0,10/31/2018,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,20,2019,8,G,3-Jun,193,1,0.6,0,3.6,0,0.8,1,2.8,2,6.8,0,4,0,0.2,0,1.4
Cory Joseph,0,0,0,0,0,4,0,66.7,3,0,0,1,2,4,4,22:31,-7,2,0,0,11/2/2018,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,11,2019,8,G,3-Jun,193,0,0.6,2,3.2,0,0,3,2.4,6,5.2,6,3.6,1,0.2,0,1.2
Enes Kanter,1,0,0,6,3,15,0,53.8,13,6,100,1,7,9,15,26:19:00,6,2,0,1,10/29/2018,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,29,2019,8,C,11-Jun,245,3,3.2,13,12.2,0,0.2,4,5.8,8,12.4,2,2.2,0,0.2,0,0.6
Enes Kanter,1,0,0,2,4,6,0,27.3,11,4,50,2,3,2,7,21:05,-4,2,0,0,10/31/2018,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,13,2019,8,C,11-Jun,245,6,3,15,10.4,0,0,7,4.8,15,10.4,2,2.2,0,0.2,1,0.2
Enes Kanter,3,0,0,1,0,5,0,71.4,7,0,75,4,5,5,13,20:10,4,2,2,0,11/2/2018,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,23,2019,8,C,11-Jun,245,2,2.8,6,8.8,0,0,3,4.6,7,10.2,2,2.2,0,0.6,0,0.2
Maxi Kleber,2,25,4,1,1,3,1,50,8,1,67,3,4,2,11,13:13,-5,0,0,0,10/28/2018,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,13,2019,2,F,10-Jun,220,0,0.4,8,4.8,1,1.6,2,3.2,8,9.4,1,0.4,4,1.8,2,0.4
Maxi Kleber,0,0,4,2,2,4,0,0,4,2,0,0,0,2,0,16:08,-12,0,1,1,10/29/2018,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,8,2019,2,F,10-Jun,220,1,0.8,3,4.8,1,1.4,4,2.8,11,8.4,0,0.4,0,1.8,0,0.6
Maxi Kleber,0,0,1,1,0,5,0,66.7,3,1,0,0,2,4,4,20:05,20,1,3,0,10/31/2018,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,19,2019,2,F,10-Jun,220,2,1,4,4.8,0,1,0,2.2,0,6.8,0,0.4,1,2.2,1,0.6
Maxi Kleber,0,33.3,3,1,2,3,1,57.1,7,1,0,0,4,2,9,13:14,-5,1,0,0,11/2/2018,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,15,2019,2,F,10-Jun,220,1,1,5,4.6,0,0.6,2,2.4,4,6.4,1,0.6,3,1.6,0,0.6
Furkan Korkmaz,0,0,1,0,0,2,0,50,2,0,0,0,1,2,2,4:35,1,0,0,0,10/29/2018,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,4,2019,2,G,7-Jun,185,0,0,1,1.2,0,0,1,0.6,2,1.2,0,0,0,0,0,0.4
Luke Kornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:24,4,1,0,0,10/29/2018,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,2,2019,2,F,1-Jul,250,0,,0,,0,,0,,0,,0,,0,,0,
Kyle Korver,1,0,4,0,1,3,0,20,5,0,50,2,1,3,3,14:49,-15,0,0,0,10/30/2018,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,5,2019,16,G-F,7-Jun,212,2,1.4,0,1.2,0,0.8,2,2.6,4,6.8,2,1.8,0,0,0,0.2
Kyle Korver,0,0,1,3,0,3,0,0,1,0,0,0,0,3,0,18:12,-2,2,0,1,11/1/2018,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,6,2019,16,G-F,7-Jun,212,0,1.8,3,1.6,0,0.8,1,2.4,3,6.4,0,1.6,0,0,0,0.2
Kosta Koufos,0,0,0,0,1,4,0,75,4,1,0,0,3,3,6,11:59,-10,0,0,1,10/29/2018,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,13,2019,11,C,Jul-00,265,,,,,,,,,,,,,,,,
Kosta Koufos,0,0,0,0,2,5,0,66.7,3,0,0,0,2,5,4,12:35,3,1,1,0,10/30/2018,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,14,2019,11,C,Jul-00,265,0,,4,,0,,3,,6,,0,,0,,1,
Kosta Koufos,0,0,0,0,2,4,0,57.1,7,1,0,0,4,3,8,11:50,7,0,1,1,11/1/2018,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,18,2019,11,C,Jul-00,265,0,,5,,0,,2,,4,,1,,1,,0,
Kyle Kuzma,1,28.6,7,0,2,6,2,44.4,18,2,50,2,8,4,19,32:16:00,-6,3,0,0,10/29/2018,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,33,2019,2,F,9-Jun,220,0,0.2,4,4.2,3,2,6,7,15,17.6,1,1.2,0,0.6,0,0.2
Kyle Kuzma,3,50,2,3,3,8,1,63.6,11,1,75,4,7,7,18,30:35:00,12,3,1,0,10/31/2018,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,30,2019,2,F,9-Jun,220,0,0.8,6,5,2,2.2,8,7,19,17.8,3,1.6,0,0.6,0,0.2
Skal Labissiere,2,0,1,1,0,4,0,66.7,3,0,100,2,2,4,6,5:29,-3,0,0,0,11/1/2018,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,7,2019,3,F,11-Jun,225,0,,2,,0,,0,,0,,1,,0,,0,
Jeremy Lamb,0,33.3,3,0,3,1,1,50,6,0,0,0,3,1,7,19:07,2,0,0,2,10/30/2018,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,16,2019,7,G-F,5-Jun,185,0,0.2,3,2.8,1,1.4,5,4.2,12,10.6,1,1.4,0,0.2,0,0.8
Jeremy Lamb,2,14.3,7,0,1,9,1,41.7,12,0,100,2,5,9,13,25:06:00,1,2,0,1,11/1/2018,110,24,20,29,38,22,26,29,30,107,111,"Boland""","Zarba""",Nansel,OKLAHOMA,OKC,CHA,28,2019,7,G-F,5-Jun,185,0,0.2,1,4,1,1.2,3,4.2,7,10.8,0,1.2,0,0,2,0.8
Zach LaVine,3,33.3,6,4,2,7,2,47.1,17,1,75,4,8,6,21,26:54:00,-35,2,0,2,10/29/2018,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,34,2019,5,G,5-Jun,189,9,5.4,11,7.2,1,1.8,9,8.4,27,25.4,3,3.4,0,0,1,0.8
Zach LaVine,4,33.3,6,2,4,5,2,45.8,24,0,100,4,11,5,28,39:20:00,3,7,1,1,10/31/2018,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,48,2019,5,G,5-Jun,189,4,5.2,7,7.4,2,2,8,8.6,21,24.6,2,3.8,0,0.2,2,1
Zach LaVine,4,28.6,7,4,5,6,2,33.3,21,0,100,4,7,6,20,34:59:00,5,5,1,1,11/2/2018,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,36,2019,5,G,5-Jun,189,2,5.6,5,8,2,1.6,11,8.8,28,24.6,7,4,1,0.4,1,1.2
Jake Layman,0,0,1,0,1,2,0,0,2,0,0,0,0,2,0,12:08,-2,1,0,0,10/29/2018,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,4,2019,3,F,9-Jun,210,0,0.4,0,0.4,1,0.6,3,1.8,7,4.2,1,0.8,0,0,0,0.2
Jake Layman,0,100,1,0,0,1,1,60,5,0,0,0,3,1,7,14:57,15,0,0,0,10/30/2018,100,19,32,34,19,15,21,26,23,85,104,"Callahan""","Barnaky""",Sterling,PORTLAND,POR,HOU,10,2019,3,F,9-Jun,210,0,0,2,0.6,0,0.8,0,2,0,4.8,1,0.6,0,0,0,0
Jake Layman,0,100,3,1,3,2,3,100,4,1,0,0,4,1,11,15:44,-1,0,2,0,11/1/2018,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,24,2019,3,F,9-Jun,210,0,0.2,1,1,1,1.2,3,2.6,7,6.4,0,0.6,0,0.4,0,0
Alex Len,1,33.3,3,1,4,2,1,60,5,2,50,2,3,0,8,14:30,-12,0,0,1,10/29/2018,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,13,2019,6,C,1-Jul,260,1,1,4,5.6,0,0.4,2,3.4,4,7.8,0,1.4,0,1.4,0,0.2
Alex Len,3,100,1,1,1,9,1,100,9,1,50,6,9,8,22,26:38:00,-11,1,2,2,10/30/2018,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,43,2019,6,C,1-Jul,260,1,1,2,5.2,1,0.6,3,3.8,8,9,0,0.8,0,1,1,0.6
Alex Len,7,0,1,3,3,6,0,40,5,3,70,10,2,3,11,22:14,-17,1,0,0,11/1/2018,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,9,2019,6,C,1-Jul,260,1,1.4,9,5,1,0.4,9,3.6,22,9.8,1,0.4,2,0.4,2,0.6
Kawhi Leonard,9,40,5,0,4,7,2,52.6,19,1,90,10,10,6,31,33:49:00,11,4,0,4,10/30/2018,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,51,2019,8,F,7-Jun,230,0,1.4,9,7,1,2.2,7,10.2,21,28,5,3.4,1,0.6,3,2.4
Kawhi Leonard,4,50,2,2,0,6,1,50,14,2,67,6,7,4,19,29:41:00,4,5,1,2,11/2/2018,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,38,2019,8,F,7-Jun,230,0,1.2,7,6.2,2,2,10,9.6,31,25.6,4,3.8,0,0.8,4,2.6
Meyers Leonard,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3:16,-6,0,0,0,10/29/2018,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,-2,2019,7,C-F,1-Jul,245,0,0.6,4,2.2,1,0.4,1,0.8,5,3,0,0,0,0,1,0.4
Caris LeVert,1,57.1,7,3,2,3,4,50,18,0,100,1,9,3,23,30:10:00,9,7,0,0,10/28/2018,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,41,2019,3,G-F,7-Jun,203,2,2.6,6,5,1,1.6,8,7.6,21,18.8,4,4.4,0,0.2,0,0.6
Caris LeVert,0,0,6,2,3,2,0,18.2,11,0,0,0,2,2,4,29:29:00,-23,5,0,2,10/29/2018,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,18,2019,3,G-F,7-Jun,203,3,2.2,3,4.6,4,1.2,9,6.4,23,15.8,7,4.8,0,0,0,0.6
Caris LeVert,4,20,5,1,4,6,1,43.8,16,0,67,6,7,6,19,39:37:00,13,6,0,2,10/31/2018,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,37,2019,3,G-F,7-Jun,203,2,2,2,4.6,0,1.4,2,6.8,4,17.6,5,5.2,0,0,2,0.8
Caris LeVert,5,66.7,6,1,5,4,4,58.8,17,1,71,7,10,3,29,30:15:00,-18,2,1,3,11/2/2018,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,50,2019,3,G-F,7-Jun,203,1,1.8,6,4.2,1,2,7,7.2,19,19.2,6,4.8,0,0.2,2,1.4
Damian Lillard,4,28.6,7,3,4,1,2,38.5,13,0,100,4,5,1,16,32:50:00,-13,2,1,0,10/29/2018,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,20,2019,7,G,3-Jun,195,1,2.2,7,6,5,3.8,15,11,42,34,6,5.6,0,0.2,0,0.4
Damian Lillard,5,50,2,3,2,3,1,80,10,0,100,5,8,3,22,27:36:00,20,7,0,1,10/30/2018,100,19,32,34,19,15,21,26,23,85,104,"Callahan""","Barnaky""",Sterling,PORTLAND,POR,HOU,33,2019,7,G,3-Jun,195,3,1.8,1,5,2,3.6,5,11.2,16,32.6,2,5.4,1,0.2,0,0.4
Damian Lillard,8,57.1,7,4,3,7,4,43.8,16,2,100,8,7,5,26,30:59:00,12,6,0,1,11/1/2018,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,41,2019,7,G,3-Jun,195,3,2.4,3,5,1,3.4,8,10,22,29.6,7,5.4,0,0.2,1,0.4
Jeremy Lin,2,0,1,1,0,2,0,50,4,0,100,2,2,2,6,9:19,-6,0,0,0,10/29/2018,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,5,2019,9,G,3-Jun,200,2,1.6,4,2.2,0,0.2,0,0.6,3,3,3,1.6,0,0,0,0
Jeremy Lin,2,33.3,6,2,3,1,2,36.4,11,0,100,2,4,1,12,23:30,0,8,0,1,10/30/2018,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,28,2019,9,G,3-Jun,200,1,1.8,2,2.2,0,0.6,2,1.4,6,5.4,0,3.2,0,0,0,0.2
Jeremy Lin,5,28.6,7,4,4,1,2,61.5,13,0,71,7,8,1,23,23:11,-28,1,1,1,11/1/2018,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,27,2019,9,G,3-Jun,200,2,2.2,1,2.4,2,0.8,4,2.8,12,9.4,8,3,0,0.2,1,0.4
Kevon Looney,0,0,0,2,1,3,0,66.7,3,2,0,0,2,1,4,12:25,11,0,0,0,10/28/2018,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,5,2019,4,F-C,9-Jun,220,1,1.2,2,3.6,0,0,3,2.2,9,6,2,1.6,0,0.6,0,0
Kevon Looney,1,0,0,0,0,5,0,60,5,0,50,2,3,5,7,17:17,-6,0,0,0,10/29/2018,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,11,2019,4,F-C,9-Jun,220,2,0.8,3,3.4,0,0,2,2,4,5.4,0,1.4,0,0.2,0,0
Kevon Looney,0,0,0,0,2,6,0,66.7,3,4,0,2,2,2,4,21:21,16,3,0,1,10/31/2018,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,18,2019,4,F-C,9-Jun,220,0,0.6,5,4.2,0,0,3,2,7,5.2,0,1.6,0,0.2,0,0.2
Kevon Looney,1,0,0,0,0,6,0,0,1,2,50,2,0,4,1,15:28,-3,0,2,0,11/2/2018,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,12,2019,4,F-C,9-Jun,220,0,0.6,6,4.4,0,0,2,2,4,5,3,1,0,0.4,1,0.2
Brook Lopez,2,20,5,1,2,4,1,30,10,1,100,2,3,3,9,28:39:00,6,1,1,0,10/29/2018,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,17,2019,11,C,Jul-00,275,3,1.8,1,2.4,2,2.2,4,3.8,11,10.6,0,0.6,2,1.4,0,0
Brook Lopez,0,0,3,2,1,5,0,25,4,0,0,0,1,5,2,23:30,-5,0,2,1,11/1/2018,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,14,2019,11,C,Jul-00,275,1,2,4,2.8,1,1.6,3,3.2,9,8.8,1,0.4,1,1.6,0,0.2
Robin Lopez,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3:54,-6,1,2,0,11/2/2018,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,10,2019,11,C,Jul-00,255,1,1.6,1,1.6,0,0,1,1.6,2,3.6,1,1.8,0,0.8,0,0
Kyle Lowry,3,0,9,4,3,6,0,21.4,14,2,60,5,3,4,9,34:09:00,-10,15,1,2,10/29/2018,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,40,2019,13,G,Jun-00,205,0,3,4,4.2,3,2.2,8,6,20,17.2,12,12.6,1,0.8,0,1.8
Kyle Lowry,3,42.9,7,5,3,3,3,50,14,0,75,4,7,3,20,37:26:00,20,12,0,1,10/30/2018,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,42,2019,13,G,Jun-00,205,4,3.2,6,4.2,0,2,3,5.4,9,15.6,15,12.6,1,0.6,2,1.8
