Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt
Jrue Holiday,6,25,4,3,2,2,1,35.7,14,0,75,8,5,2,17,35:18:00,-13,10,0,3,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,36,2019,10,G,4-Jun,205
Justin Holiday,0,42.9,7,2,2,2,3,33.3,9,1,0,0,3,1,9,28:32:00,-32,5,0,0,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,22.5,2019,7,G,6-Jun,185
Justin Holiday,0,55.6,9,0,3,5,5,50,10,0,0,0,5,5,15,39:04:00,-7,5,1,0,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,40.5,2019,7,G,6-Jun,185
Justin Holiday,0,45.5,11,1,2,1,5,50,14,0,0,0,7,1,19,35:53:00,-11,2,1,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,35,2019,7,G,6-Jun,185
Richaun Holmes,2,0,0,1,2,2,0,0,0,1,100,2,0,1,2,3:57,11,2,0,0,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,4,2019,4,F-C,10-Jun,245
Richaun Holmes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4:15,-5,0,0,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,0,2019,4,F-C,10-Jun,245
Richaun Holmes,0,0,0,1,2,5,0,25,4,1,0,0,1,4,2,12:41,-2,0,1,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,9,2019,4,F-C,10-Jun,245
Rodney Hood,4,100,4,1,4,1,4,69.2,13,0,66.7,6,9,1,26,30:52:00,38,3,0,3,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,43.5,2019,5,G-F,8-Jun,206
Rodney Hood,6,0,3,0,2,4,0,11.1,9,0,100,6,1,4,8,27:32:00,-15,4,1,2,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,21,2019,5,G-F,8-Jun,206
Al Horford,1,0,3,3,4,5,0,55.6,9,2,50,2,5,3,11,32:49:00,2,4,1,1,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,24,2019,12,C-F,10-Jun,245
Al Horford,2,36.4,11,3,0,5,4,40,15,1,100,2,6,4,18,31:58:00,11,8,1,0,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,41,2019,12,C-F,10-Jun,245
Dwight Howard,6,0,0,1,4,3,0,87.5,8,2,75,8,7,1,20,23:10,-12,1,0,2,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""","Lindsay""",Smith,OKLAHOMA,OKC,WAS,23.5,2019,15,C,11-Jun,265
Serge Ibaka,4,40,5,0,3,9,2,57.1,21,2,100,4,12,7,30,28:30:00,7,1,1,0,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,43.5,2019,10,F-C,10-Jun,235
Serge Ibaka,2,0,1,2,3,8,0,53.8,13,4,100,2,7,4,16,30:22:00,16,1,3,2,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,36.5,2019,10,F-C,10-Jun,235
Serge Ibaka,2,0,4,1,2,4,0,50,12,0,50,4,6,4,14,22:40,11,1,2,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,28.5,2019,10,F-C,10-Jun,235
Andre Iguodala,0,0,1,0,2,5,0,66.7,3,3,0,0,2,2,4,19:52,3,2,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,18,2019,15,G-F,6-Jun,215
Andre Iguodala,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7:06,16,4,0,0,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,7,2019,15,G-F,6-Jun,215
Andre Iguodala,3,66.7,3,1,0,0,2,33.3,6,0,75,4,2,0,9,19:51,-1,3,2,1,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,22.5,2019,15,G-F,6-Jun,215
Andre Iguodala,0,0,2,1,1,3,0,16.7,6,1,0,2,1,2,2,19:50,10,8,0,2,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,22,2019,15,G-F,6-Jun,215
Ersan Ilyasova,0,50,6,1,1,10,3,66.7,12,2,0,0,8,8,19,23:30,9,2,0,0,29-Oct-18,91,29,24,27,29,30,32,33,29,124,109,"Phillips""","Forte""",Washington,MILWAUKEE,TOR,MIL,37,2019,13,F,10-Jun,235
Ersan Ilyasova,2,0,1,0,3,5,0,50,6,2,100,2,3,3,8,26:21:00,-4,0,0,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,14,2019,13,F,10-Jun,235
Joe Ingles,1,42.9,7,4,3,7,3,36.4,11,0,100,1,4,7,12,30:55:00,9,5,0,1,28-Oct-18,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,30.5,2019,5,F-G,8-Jun,226
Joe Ingles,0,16.7,6,3,4,6,1,50,12,0,0,2,6,6,13,35:00:00,7,5,0,1,31-Oct-18,106,25,31,40,29,32,33,36,27,128,125,"Goble""","Workman""",Petraitis,MINNESOTA,UTA,MIN,28.5,2019,5,F-G,8-Jun,226
Joe Ingles,4,37.5,8,5,2,3,3,46.2,13,0,80,5,6,3,19,36:56:00,-3,2,1,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,28,2019,5,F-G,8-Jun,226
Brandon Ingram,3,60,5,4,5,5,3,50,18,3,75,4,9,2,24,25:08:00,3,2,3,0,29-Oct-18,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,40,2019,3,F,9-Jun,190
Brandon Ingram,4,100,1,3,5,3,1,37.5,16,0,66.7,6,6,3,17,31:27:00,9,1,0,1,31-Oct-18,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,19.5,2019,3,F,9-Jun,190
Kyrie Irving,7,57.1,7,2,0,5,4,62.5,16,1,87.5,8,10,4,31,33:25:00,1,5,0,1,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,45.5,2019,8,G,3-Jun,193
Kyrie Irving,2,50,12,2,2,3,6,50,20,1,100,2,10,2,28,33:17:00,12,7,2,1,1-Nov-18,114,16,37,25,35,23,32,38,24,117,113,"Washington""","Lindsay""",Ervin,BOSTON,MIL,BOS,58.5,2019,8,G,3-Jun,193
Jonathan Isaac,3,0,4,0,2,3,0,37.5,8,0,100,3,3,3,9,24:57:00,-6,1,0,1,30-Oct-18,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,13.5,2019,2,F,10-Jun,210
Jonathan Isaac,0,0,1,0,1,1,0,25,4,1,0,0,1,0,2,12:09,-2,0,0,0,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""","Ayotte""",Sterling,LA,LAC,ORL,3,2019,2,F,10-Jun,210
Josh Jackson,0,0,3,4,6,1,0,40,10,0,0,0,4,1,8,20:40,-13,0,1,1,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,11,2019,2,F-G,8-Jun,207
Josh Jackson,0,0,1,1,2,1,0,28.6,7,0,0,0,2,1,4,20:48,-17,2,1,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,10,2019,2,F-G,8-Jun,207
Josh Jackson,0,100,1,1,1,3,1,62.5,8,0,0,0,5,3,11,11:35,-9,1,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,16.5,2019,2,F-G,8-Jun,207
Justin Jackson,2,0,3,0,3,2,0,16.7,6,0,100,2,1,2,4,21:55,-6,2,1,0,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,10,2019,2,G-F,8-Jun,200
Justin Jackson,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,20:27,9,3,0,0,30-Oct-18,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,4.5,2019,2,G-F,8-Jun,200
Justin Jackson,2,0,2,0,0,0,0,40,5,0,66.7,3,2,0,6,22:39,13,3,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,8.5,2019,2,G-F,8-Jun,200
Reggie Jackson,3,20,5,3,2,2,1,22.2,9,0,100,3,2,2,8,26:46:00,-10,2,0,0,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,9,2019,8,G,3-Jun,208
Reggie Jackson,3,28.6,7,1,3,4,2,34.8,23,1,100,3,8,3,21,35:25:00,-5,2,1,1,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,34,2019,8,G,3-Jun,208
LeBron James,4,50,6,5,2,10,3,47.8,23,3,80,5,11,7,29,36:16:00,-6,8,2,2,29-Oct-18,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,60,2019,16,F-G,8-Jun,250
LeBron James,5,66.7,3,3,3,5,2,57.9,19,0,71.4,7,11,5,29,38:35:00,5,6,0,3,31-Oct-18,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,48,2019,16,F-G,8-Jun,250
Jonas Jerebko,4,0,1,0,0,6,0,0,2,0,100,4,0,6,4,15:21,7,2,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,9,2019,10,F,10-Jun,231
Jonas Jerebko,0,100,2,1,5,5,2,100,4,1,0,0,4,4,10,19:40,5,2,0,1,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,24,2019,10,F,10-Jun,231
Jonas Jerebko,2,40,5,1,4,2,2,50,6,1,100,2,3,1,10,16:42,9,3,1,2,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,26.5,2019,10,F,10-Jun,231
Jonas Jerebko,3,0,2,1,0,4,0,28.6,7,2,100,3,2,2,7,13:59,-4,1,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,8.5,2019,10,F,10-Jun,231
Amir Johnson,0,0,0,0,2,6,0,50,2,1,0,0,1,5,2,14:37,6,3,1,0,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,15.5,2019,14,F-C,9-Jun,240
Amir Johnson,1,0,1,4,1,6,0,50,4,2,50,2,2,4,5,11:59,-4,1,1,1,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,13.5,2019,14,F-C,9-Jun,240
Amir Johnson,1,0,0,2,2,3,0,66.7,3,0,100,1,2,3,5,11:53,-6,1,0,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,6.5,2019,14,F-C,9-Jun,240
Stanley Johnson,0,20,5,6,5,5,1,44.4,9,1,0,0,4,4,9,34:34:00,9,4,0,0,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,16,2019,4,F,7-Jun,245
Stanley Johnson,3,33.3,3,2,5,12,1,25,4,1,75,4,1,11,6,33:15:00,-2,2,0,1,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,21,2019,4,F,7-Jun,245
Tyler Johnson,4,20,5,1,3,4,1,37.5,8,0,66.7,6,3,4,11,24:59:00,10,4,0,2,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,24,2019,5,G,4-Jun,186
Tyler Johnson,1,50,2,2,3,2,1,71.4,7,0,33.3,3,5,2,12,26:13:00,-8,3,1,1,30-Oct-18,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,23.5,2019,5,G,4-Jun,186
Nikola Jokic,4,50,4,0,4,9,2,37.5,8,1,100,4,3,8,12,28:57:00,5,10,2,0,29-Oct-18,94,24,21,31,35,20,38,26,32,116,111,"Mauer""","Mott""",Buchert,DENVER,NOP,DEN,42,2019,4,C-F,10-Jun,250
Nikola Jokic,1,50,6,6,2,12,3,45,20,5,100,1,9,7,22,32:47:00,4,9,3,2,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,61.5,2019,4,C-F,10-Jun,250
Nikola Jokic,0,0,1,2,2,6,0,40,5,1,0,0,2,5,4,22:21,9,3,1,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,18.5,2019,4,C-F,10-Jun,250
Damian Jones,0,0,0,2,4,1,0,33.3,3,1,0,0,1,0,2,11:35,-6,1,2,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,11.5,2019,3,F-C,Jul-00,245
Damian Jones,0,0,0,0,4,2,0,50,2,0,0,0,1,2,2,13:50,13,0,0,1,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,7,2019,3,F-C,Jul-00,245
Damian Jones,0,0,0,0,3,3,0,75,4,1,0,0,3,2,6,10:37,0,0,0,0,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,9,2019,3,F-C,Jul-00,245
Damian Jones,2,0,0,0,0,4,0,66.7,3,1,100,2,2,3,6,16:37,5,0,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,8,2019,3,F-C,Jul-00,245
Derrick Jones,0,0,0,0,0,1,0,25,4,1,0,0,1,0,2,5:04,-1,0,0,0,30-Oct-18,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,3,2019,3,F,7-Jun,190
Tyus Jones,0,50,2,0,1,0,1,33.3,3,0,0,0,1,0,3,15:47,7,1,0,1,29-Oct-18,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,9.5,2019,4,G,2-Jun,195
Tyus Jones,0,28.6,7,0,2,5,2,27.3,11,2,0,0,3,3,8,40:30:00,-18,9,0,2,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,36.5,2019,4,G,2-Jun,195
DeAndre Jordan,4,0,0,2,3,19,0,80,5,5,100,4,4,14,12,36:36:00,3,9,1,0,28-Oct-18,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,41.5,2019,11,C,11-Jun,265
DeAndre Jordan,0,0,0,3,3,19,0,66.7,6,1,0,2,4,18,8,41:07:00,13,2,1,1,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,33,2019,11,C,11-Jun,265
DeAndre Jordan,2,0,0,6,3,12,0,100,4,1,100,2,4,11,10,30:45:00,-14,0,1,1,31-Oct-18,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,20,2019,11,C,11-Jun,265
DeAndre Jordan,0,0,0,1,3,10,0,40,5,2,0,0,2,8,4,32:17:00,-8,1,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,17.5,2019,11,C,11-Jun,265
Cory Joseph,0,0,0,1,2,0,0,25,4,0,0,0,1,0,2,14:30,-20,0,0,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,1,2019,8,G,3-Jun,193
Cory Joseph,0,0,1,0,1,2,0,42.9,7,1,0,0,3,1,6,31:39:00,3,6,1,0,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,20,2019,8,G,3-Jun,193
Cory Joseph,0,0,0,0,0,4,0,66.7,3,0,0,1,2,4,4,22:31,-7,2,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,11,2019,8,G,3-Jun,193
Enes Kanter,1,0,0,6,3,15,0,53.8,13,6,100,1,7,9,15,26:19:00,6,2,0,1,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,29,2019,8,C,11-Jun,245
Enes Kanter,1,0,0,2,4,6,0,27.3,11,4,50,2,3,2,7,21:05,-4,2,0,0,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,13,2019,8,C,11-Jun,245
Enes Kanter,3,0,0,1,0,5,0,71.4,7,0,75,4,5,5,13,20:10,4,2,2,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,23,2019,8,C,11-Jun,245
Maxi Kleber,2,25,4,1,1,3,1,50,8,1,66.7,3,4,2,11,13:13,-5,0,0,0,28-Oct-18,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,13,2019,2,F,10-Jun,220
Maxi Kleber,0,0,4,2,2,4,0,0,4,2,0,0,0,2,0,16:08,-12,0,1,1,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,8,2019,2,F,10-Jun,220
Maxi Kleber,0,0,1,1,0,5,0,66.7,3,1,0,0,2,4,4,20:05,20,1,3,0,31-Oct-18,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,18.5,2019,2,F,10-Jun,220
Maxi Kleber,0,33.3,3,1,2,3,1,57.1,7,1,0,0,4,2,9,13:14,-5,1,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,14.5,2019,2,F,10-Jun,220
Furkan Korkmaz,0,0,1,0,0,2,0,50,2,0,0,0,1,2,2,4:35,1,0,0,0,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,4,2019,2,G,7-Jun,185
Luke Kornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:24,4,1,0,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,1.5,2019,2,F,1-Jul,250
Kyle Korver,1,0,4,0,1,3,0,20,5,0,50,2,1,3,3,14:49,-15,0,0,0,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,5,2019,16,G-F,7-Jun,212
Kyle Korver,0,0,1,3,0,3,0,0,1,0,0,0,0,3,0,18:12,-2,2,0,1,1-Nov-18,111,15,35,33,27,27,15,24,25,91,110,"Phillips""","Fraher""",Goble,DENVER,DEN,CLE,6,2019,16,G-F,7-Jun,212
Kosta Koufos,0,0,0,0,1,4,0,75,4,1,0,0,3,3,6,11:59,-10,0,0,1,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,13,2019,11,C,Jul-00,265
Kosta Koufos,0,0,0,0,2,5,0,66.7,3,0,0,0,2,5,4,12:35,3,1,1,0,30-Oct-18,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,13.5,2019,11,C,Jul-00,265
Kosta Koufos,0,0,0,0,2,4,0,57.1,7,1,0,0,4,3,8,11:50,7,0,1,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,18,2019,11,C,Jul-00,265
Kyle Kuzma,1,28.6,7,0,2,6,2,44.4,18,2,50,2,8,4,19,32:16:00,-6,3,0,0,29-Oct-18,92,32,34,28,26,36,28,29,31,124,120,"Washington""","Lindsay""",Smith,MINNESOTA,LAL,MIN,32.5,2019,2,F,9-Jun,220
Kyle Kuzma,3,50,2,3,3,8,1,63.6,11,1,75,4,7,7,18,30:35:00,12,3,1,0,31-Oct-18,108,21,38,22,32,38,28,28,20,114,113,"Mott""","Lane""",Acosta,LOS,DAL,LAL,29.5,2019,2,F,9-Jun,220
Skal Labissiere,2,0,1,1,0,4,0,66.7,3,0,100,2,2,4,6,5:29,-3,0,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,7,2019,3,F,11-Jun,225
Jeremy Lamb,0,33.3,3,0,3,1,1,50,6,0,0,0,3,1,7,19:07,2,0,0,2,30-Oct-18,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,16,2019,7,G-F,5-Jun,185
Jeremy Lamb,2,14.3,7,0,1,9,1,41.7,12,0,100,2,5,9,13,25:06:00,1,2,0,1,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""","Zarba""",Nansel,OKLAHOMA,OKC,CHA,28,2019,7,G-F,5-Jun,185
Zach LaVine,3,33.3,6,4,2,7,2,47.1,17,1,75,4,8,6,21,26:54:00,-35,2,0,2,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,34,2019,5,G,5-Jun,189
Zach LaVine,4,33.3,6,2,4,5,2,45.8,24,0,100,4,11,5,28,39:20:00,3,7,1,1,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,47.5,2019,5,G,5-Jun,189
Zach LaVine,4,28.6,7,4,5,6,2,33.3,21,0,100,4,7,6,20,34:59:00,5,5,1,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,35.5,2019,5,G,5-Jun,189
Jake Layman,0,0,1,0,1,2,0,0,2,0,0,0,0,2,0,12:08,-2,1,0,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,3.5,2019,3,F,9-Jun,210
Jake Layman,0,100,1,0,0,1,1,60,5,0,0,0,3,1,7,14:57,15,0,0,0,30-Oct-18,100,19,32,34,19,15,21,26,23,85,104,"Callahan""","Barnaky""",Sterling,PORTLAND,POR,HOU,10,2019,3,F,9-Jun,210
Jake Layman,0,100,3,1,3,2,3,100,4,1,0,0,4,1,11,15:44,-1,0,2,0,1-Nov-18,115,31,34,34,20,35,35,32,30,132,119,"Wood""","Lewis""",Lane,PORTLAND,NOP,POR,24,2019,3,F,9-Jun,210
Alex Len,1,33.3,3,1,4,2,1,60,5,2,50,2,3,0,8,14:30,-12,0,0,1,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,13,2019,6,C,1-Jul,260
Alex Len,3,100,1,1,1,9,1,100,9,1,50,6,9,8,22,26:38:00,-11,1,2,2,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,42.5,2019,6,C,1-Jul,260
Alex Len,7,0,1,3,3,6,0,40,5,3,70,10,2,3,11,22:14,-17,1,0,0,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,8.5,2019,6,C,1-Jul,260
Kawhi Leonard,9,40,5,0,4,7,2,52.6,19,1,90,10,10,6,31,33:49:00,11,4,0,4,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,51,2019,8,F,7-Jun,230
Kawhi Leonard,4,50,2,2,0,6,1,50,14,2,66.7,6,7,4,19,29:41:00,4,5,1,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""","Richardson""",Brown,TORONTO,TOR,PHX,37.5,2019,8,F,7-Jun,230
Meyers Leonard,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3:16,-6,0,0,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,-2,2019,7,C-F,1-Jul,245
Caris LeVert,1,57.1,7,3,2,3,4,50,18,0,100,1,9,3,23,30:10:00,9,7,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,40.5,2019,3,G-F,7-Jun,203
Caris LeVert,0,0,6,2,3,2,0,18.2,11,0,0,0,2,2,4,29:29:00,-23,5,0,2,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,17.5,2019,3,G-F,7-Jun,203
Caris LeVert,4,20,5,1,4,6,1,43.8,16,0,66.7,6,7,6,19,39:37:00,13,6,0,2,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,37,2019,3,G-F,7-Jun,203
