Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt
Spencer Dinwiddie,0,57.1,7,1,2,1,4,44.4,9,1,0,0,4,0,12,23:30,-23,0,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,20,2019,5,G,6-Jun,200
Spencer Dinwiddie,3,33.3,6,1,3,1,2,60,10,0,100,3,6,1,17,25:24:00,-6,3,2,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,28.5,2019,5,G,6-Jun,200
Spencer Dinwiddie,4,55.6,9,2,5,4,5,53.3,15,2,100,4,8,2,25,31:35:00,7,4,0,0,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,39,2019,5,G,6-Jun,200
Spencer Dinwiddie,1,16.7,6,3,4,0,1,38.5,13,0,50,2,5,0,12,27:36:00,-1,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,14.5,2019,5,G,6-Jun,200
Tyler Dorsey,0,0,1,0,0,0,0,33.3,3,0,0,0,1,0,2,5:42,0,1,0,0,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,3.5,2019,2,G,5-Jun,183
Tyler Dorsey,0,100,1,0,0,0,1,100,1,0,0,0,1,0,3,2:42,3,0,0,0,30-Oct-18,96,31,26,30,27,35,23,41,37,136,114,"Capers""","Myers""",Taylor,CLEVELAND,ATL,CLE,5,2019,2,G,5-Jun,183
Tyler Dorsey,2,0,2,0,1,2,0,50,8,0,50,4,4,2,10,16:43,-6,0,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,13,2019,2,G,5-Jun,183
Damyean Dotson,1,16.7,6,2,2,5,1,40,10,1,100,1,4,4,10,28:00:00,21,0,0,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,14,2019,2,G,6-Jun,205
Damyean Dotson,1,50,4,0,0,3,2,45.5,11,0,100,1,5,3,13,31:57:00,-8,1,0,1,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,23.5,2019,2,G,6-Jun,205
Damyean Dotson,0,33.3,3,1,1,8,1,38.5,13,1,0,2,5,7,11,36:21:00,18,1,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""","Blair""",Tiven,NEW,NYK,DAL,24.5,2019,2,G,6-Jun,205
Goran Dragic,2,50,8,2,3,1,4,46.7,15,0,100,2,7,1,20,31:06:00,-19,5,0,2,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,38.5,2019,11,G,3-Jun,190
Goran Dragic,2,16.7,6,4,2,1,1,27.3,11,0,100,2,3,1,9,24:39:00,-11,3,0,0,30-Oct-18,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,10.5,2019,11,G,3-Jun,190
Andre Drummond,1,0,0,0,4,12,0,47.1,17,4,25,4,8,8,17,31:15:00,1,2,1,2,30-Oct-18,98,28,30,13,34,31,25,25,27,108,105,"Corbin""","Taylor""",Twardoski,BOSTON,DET,BOS,40,2019,7,C,11-Jun,279
Andre Drummond,8,0,1,4,2,23,0,57.1,14,10,80,10,8,13,24,37:53:00,-11,1,2,1,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,45.5,2019,7,C,11-Jun,279
Jared Dudley,0,0,2,1,1,6,0,60,5,2,0,0,3,4,6,21:57,10,2,0,3,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,23,2019,12,F-G,7-Jun,225
Jared Dudley,0,0,4,1,2,2,0,0,4,0,0,0,0,2,0,18:12,-5,3,1,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,8.5,2019,12,F-G,7-Jun,225
Jared Dudley,6,16.7,6,0,3,6,1,22.2,9,2,100,6,2,4,11,37:32:00,9,3,0,0,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,17.5,2019,12,F-G,7-Jun,225
Jared Dudley,0,50,2,2,1,3,1,50,2,1,0,0,1,2,3,23:03,-12,3,0,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,10.5,2019,12,F-G,7-Jun,225
Kevin Durant,10,33.3,6,3,0,8,2,55,20,0,90.9,11,11,8,34,39:08:00,-2,6,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,48,2019,12,F-G,9-Jun,240
Kevin Durant,3,25,4,0,2,2,1,55.6,9,0,100,3,5,2,14,28:08:00,45,7,1,1,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,31.5,2019,12,F-G,9-Jun,240
Kevin Durant,2,66.7,3,2,0,5,2,58.8,17,0,66.7,3,10,5,24,40:09:00,12,8,0,2,31-Oct-18,107,37,26,29,29,43,27,37,24,131,121,"Garretson""","Richardson""",Orr,GOLDEN,NOP,GSW,47,2019,12,F-G,9-Jun,240
Kevin Durant,8,60,5,4,2,13,3,57.9,19,0,88.9,9,11,13,33,36:02:00,17,3,1,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""","Dalen""",Barnaky,GOLDEN,MIN,GSW,47.5,2019,12,F-G,9-Jun,240
Joel Embiid,4,0,2,4,3,6,0,33.3,9,2,100,4,3,4,10,29:35:00,12,6,2,0,29-Oct-18,87,25,22,13,32,20,27,31,35,113,92,"Goble""","Scott""",Moyer-Gleich,PHILADELPHIA,ATL,PHI,23,2019,3,C,Jul-00,250
Joel Embiid,6,75,4,2,4,11,3,52.4,21,5,85.7,7,11,6,31,32:32:00,-7,4,1,0,30-Oct-18,99,26,27,33,26,35,32,38,24,129,112,"Foster""","Ervin""",Ford,TORONTO,PHI,TOR,49,2019,3,C,Jul-00,250
Joel Embiid,6,37.5,8,2,5,13,3,50,32,4,66.7,9,16,9,41,33:08:00,16,1,4,0,1-Nov-18,112,30,27,29,27,34,38,18,32,122,113,"Kirkland""","Twardoski""",Adair,PHILADELPHIA,LAC,PHI,65.5,2019,3,C,Jul-00,250
James Ennis,0,0,1,0,3,1,0,33.3,3,0,0,2,1,1,2,19:13,4,0,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,6,2019,5,F,7-Jun,210
Tyreke Evans,2,50,2,2,2,0,1,40,5,0,100,2,2,0,7,14:32,-22,0,1,0,29-Oct-18,86,23,22,26,32,16,33,20,24,93,103,"Fitzgerald""","Maddox""",Adair,PORTLAND,POR,IND,8,2019,10,G-F,6-Jun,220
Tyreke Evans,1,0,2,2,1,5,0,25,8,1,50,2,2,4,5,20:30,0,3,1,1,31-Oct-18,104,28,22,27,30,25,27,29,20,101,107,"Brothers""","Cutler""",Taylor,INDIANA,IND,NYK,17.5,2019,10,G-F,6-Jun,220
Tyreke Evans,2,50,2,2,1,2,1,45.5,11,0,100,2,5,2,13,17:49,-11,2,0,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,19,2019,10,G-F,6-Jun,220
Dante Exum,3,50,2,2,2,4,1,20,5,1,75,4,1,3,6,16:07,13,3,1,1,28-Oct-18,83,26,24,32,31,19,27,31,27,104,113,"Garretson""","Fraher""",Dalen,UTAH,UTA,DAL,17.5,2019,5,G,6-Jun,190
Dante Exum,5,33.3,3,0,3,4,1,44.4,9,2,83.3,6,4,2,14,25:18:00,0,3,0,1,31-Oct-18,106,25,31,40,29,32,33,36,27,128,125,"Goble""","Workman""",Petraitis,MINNESOTA,UTA,MIN,22.5,2019,5,G,6-Jun,190
Dante Exum,1,0,2,1,4,0,0,16.7,6,0,50,2,1,0,3,19:07,-8,4,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,7,2019,5,G,6-Jun,190
Kenneth Faried,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,4:09,-2,0,0,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,1,2019,8,F,8-Jun,228
Derrick Favors,3,33.3,3,1,4,9,1,45.5,11,7,75,4,5,2,14,22:51,-7,0,0,0,31-Oct-18,106,25,31,40,29,32,33,36,27,128,125,"Goble""","Workman""",Petraitis,MINNESOTA,UTA,MIN,21,2019,9,F-C,10-Jun,265
Derrick Favors,1,50,2,0,3,6,1,55.6,9,4,50,2,5,2,12,23:09,-13,1,2,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,26.5,2019,9,F-C,10-Jun,265
Cristiano Felicio,0,0,0,0,2,7,0,60,5,3,0,0,3,4,6,21:15,-5,0,0,0,29-Oct-18,90,44,48,33,24,28,22,39,35,124,149,"Smith""","Wright""",Workman,GOLDEN,GSW,CHI,13,2019,4,F-C,10-Jun,275
Cristiano Felicio,2,0,0,1,3,4,0,0,2,2,100,2,0,2,2,15:12,-5,0,0,0,31-Oct-18,105,28,23,29,18,24,24,30,20,107,108,"Fitzgerald""","Maddox""",Van,DENVER,DEN,CHI,3,2019,4,F-C,10-Jun,275
Cristiano Felicio,1,0,0,2,2,9,0,66.7,6,2,50,2,4,7,9,21:29,-3,2,1,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""","Scott""",Twardoski,INDIANA,IND,CHI,21,2019,4,F-C,10-Jun,275
Terrance Ferguson,0,0,2,3,1,2,0,50,6,0,0,0,3,2,6,27:16:00,-8,0,0,2,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,11,2019,2,G-F,7-Jun,184
Terrance Ferguson,0,0,0,0,4,0,0,100,1,0,0,0,1,0,2,25:53:00,34,1,1,1,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,9.5,2019,2,G-F,7-Jun,184
Terrance Ferguson,0,0,1,1,5,1,0,0,1,0,0,0,0,1,0,17:38,-7,1,0,0,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""","Zarba""",Nansel,OKLAHOMA,OKC,CHA,1.5,2019,2,G-F,7-Jun,184
Terrance Ferguson,0,60,5,2,4,1,3,60,5,0,0,0,3,1,9,17:26,-3,2,0,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""","Lindsay""",Smith,OKLAHOMA,OKC,WAS,17,2019,2,G-F,7-Jun,184
Yogi Ferrell,0,0,0,0,0,1,0,50,4,0,0,0,2,1,4,8:52,-2,0,0,1,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,8,2019,3,G,Jun-00,180
Yogi Ferrell,0,0,4,0,1,2,0,0,5,0,0,0,0,2,0,10:47,-2,3,0,1,1-Nov-18,113,35,34,46,31,29,35,23,28,115,146,"Callahan""","Tiven""",Goldenberg,SACRAMENTO,SAC,ATL,9.5,2019,3,G,Jun-00,180
Bryn Forbes,0,40,5,2,3,0,2,45.5,11,0,0,0,5,0,12,29:35:00,15,1,0,1,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,18.5,2019,3,G,3-Jun,190
Bryn Forbes,1,0,3,1,1,1,0,42.9,7,0,100,1,3,1,7,22:15,25,7,0,1,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,19.5,2019,3,G,3-Jun,190
Evan Fournier,2,16.7,6,3,3,2,1,23.1,13,0,100,2,3,2,9,27:57:00,-4,2,0,1,30-Oct-18,97,26,33,26,22,31,25,16,27,99,107,"Wall""","Zarba""",Nansel,SACRAMENTO,SAC,ORL,14,2019,7,G-F,7-Jun,205
Evan Fournier,4,50,2,4,3,3,1,58.3,12,1,66.7,6,7,2,19,28:05:00,-6,4,0,3,2-Nov-18,116,22,35,30,33,22,22,28,23,95,120,"Corbin""","Ayotte""",Sterling,LA,LAC,ORL,31,2019,7,G-F,7-Jun,205
