Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Bogdan Bogdanovic,0,33.3,3,1,3,2,1,42.9,7,0,0,0,3,2,7,28:06,-22,2,1,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,16
Zach Randolph,0,0,2,3,3,5,0,60,10,2,0,0,6,3,12,23:01,-20,0,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,14
Willie CauleyStein,2,0,0,2,2,7,0,33.3,3,2,100,2,1,5,4,22:38,-22,1,2,2,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,20.5
Buddy Hield,0,0,3,2,1,2,0,22.2,9,1,0,0,2,1,4,19:18,-20,0,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,7
George Hill,0,0,1,2,1,6,0,33.3,12,0,0,0,4,6,8,27:04,-18,2,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,15
DeAaron Fox,0,0,2,1,1,4,0,50,18,2,0,1,9,2,18,27:46,0,5,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,31.5
Skal Labissiere,2,0,0,0,1,7,0,37.5,8,1,40,5,3,6,8,24:59,2,0,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,16
Kosta Koufos,1,0,0,1,2,7,0,50,4,1,50,2,2,6,5,20:27,-3,2,1,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,19
Justin Jackson,0,50,2,1,1,0,1,40,5,0,0,0,2,0,5,17:25,-5,0,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,9
Malachi Richardson,0,0,1,1,3,3,0,16.7,6,0,0,0,1,3,2,19:26,4,1,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,8.5
Frank Mason,2,0,0,0,0,1,0,50,4,0,50,4,2,1,6,4:55,7,1,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,6.5
Georgios Papagiannis,0,0,0,0,0,1,0,100,2,0,0,0,2,1,4,4:55,7,1,1,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,9.5
Vince Carter,NA,NA,NA,NA,NA,NA,NA,DECISION,'COACH''S',NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,NA
Bojan Bogdanovic,2,50,6,0,2,3,3,46.2,13,2,100,2,6,1,17,27:11,26,4,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,33
Thaddeus Young,1,40,5,0,1,4,2,50,12,1,50,2,6,3,15,27:24,22,0,0,4,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,34
Domantas Sabonis,2,0,0,4,2,16,0,83.3,6,2,66.7,3,5,14,12,25:07,27,5,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,29.5
Victor Oladipo,5,33.3,3,3,1,4,1,40,10,1,83.3,6,4,3,14,28:07,22,2,1,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,21
Darren Collison,3,0,2,1,0,0,0,0,4,0,100,3,0,0,3,24:49,19,2,0,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,5
Lance Stephenson,2,0,2,1,2,7,0,33.3,6,1,66.7,3,2,6,6,24:18,-7,5,2,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,23.5
Al Jefferson,0,0,0,0,3,8,0,25,8,4,0,0,2,4,4,17:58,-2,2,3,1,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,27
Cory Joseph,0,75,4,2,0,3,3,62.5,8,0,0,0,5,3,13,22:40,6,0,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,20
TJ Leaf,0,50,2,1,4,4,1,37.5,8,2,0,1,3,2,7,20:36,-4,2,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,15
Joe Young,0,0,2,0,1,2,0,0,5,0,0,0,0,2,0,9:54,-6,1,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,3.5
Ike Anigbogu,2,0,0,0,1,1,0,50,2,1,100,2,1,0,4,4:55,-7,0,1,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,6
Damien Wilkins,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4:55,-7,2,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,2
Alex Poythress,0,100,2,1,0,1,2,100,2,0,0,0,2,1,6,2:06,1,0,0,0,"OCT 31 2017",101,13,17,18,35,24,31,14,32,101,83,"Adams""""","Fraher""""",Nansel,INDIANA,SAC,IND,10
TJ Warren,6,0,1,0,5,11,0,58.3,12,4,85.7,7,7,7,20,25:15,8,0,1,0,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,28
Marquese Chriss,5,0,2,2,4,5,0,0,2,0,83.3,6,0,5,5,21:24,-12,2,1,1,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,12
Tyson Chandler,0,0,0,3,5,13,0,25,4,2,0,0,1,11,2,22:01,26,1,1,0,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,16.5
Devin Booker,5,62.5,8,4,3,7,5,50,22,0,100,5,11,7,32,35:28,3,4,0,0,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,46
Mike James,3,75,4,4,1,3,3,56.3,16,1,100,3,9,2,24,29:11,17,5,1,4,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,48.5
Dragan Bender,0,50,4,0,2,3,2,50,8,0,0,0,4,3,10,26:36,20,3,1,0,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,24.5
Josh Jackson,0,0,2,1,3,6,0,28.6,14,0,0,0,4,6,8,23:23,0,1,0,0,"OCT 31 2017",102,30,29,28,35,24,29,35,26,114,122,"Brothers""""","Workman""""",Scott,PHOENIX,PHX,BKN,14.5
