Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Taurean Prince,3,37.5,8,3,0,6,3,61.1,18,1,100,3,11,5,28,37:06,-14,2,0,2,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,43
John Collins,2,0,0,2,1,10,0,66.7,3,0,100,2,2,10,6,25:14,-10,2,1,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,18
Dewayne Dedmon,0,0,3,1,1,7,0,42.9,7,2,0,0,3,5,6,29:59,-12,1,1,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,16.5
Damion Lee,0,0,5,1,3,5,0,22.2,9,0,0,0,2,5,4,25:10,-12,1,0,1,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,12.5
Isaiah Taylor,3,50,6,2,4,1,3,58.8,17,0,75,4,10,1,26,31:44,-15,3,0,1,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,35.5
Tyler Dorsey,0,44.4,9,1,2,5,4,40,15,1,0,0,6,4,16,28:40,-4,1,0,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,29.5
Mike Muscala,2,25,4,1,0,6,1,50,10,2,100,2,5,4,13,27:03,-7,3,0,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,22.5
Josh Magette,0,0,3,1,3,2,0,0,4,0,0,0,0,2,0,16:16,-4,5,0,1,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,11.5
Andrew White,0,0,2,0,0,1,0,0,4,0,0,0,0,1,0,12:29,-15,0,0,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,1
Tyler Cavanaugh,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,6:19,-2,0,0,0,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,1
DeAndre Bembry,NA,NA,NA,NA,NA,NA,NA,NA,INJURY/ILLNESS,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,NA
Miles Plumlee,NA,NA,NA,NA,NA,NA,NA,DECISION,'COACH''S',NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,NA
Dennis Schroder,NA,NA,NA,NA,NA,NA,NA,NA,INJURY/ILLNESS,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"MAR 25 2018",1101,20,25,29,25,33,36,25,24,118,99,"Garretson""""","Twardoski""""",Petraitis,HOUSTON,ATL,HOU,NA
