Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Jeff Green,2,33.3,3,0,3,3,1,25,8,0,100,2,2,3,7,22:02,-5,0,1,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,13
LeBron James,4,25,8,2,0,10,2,45,20,2,80,5,9,8,24,31:27,-13,7,1,1,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,48.5
Larry Nance,2,0,1,2,5,8,0,58.3,12,3,100,2,7,5,16,26:06,-5,1,0,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,21.5
JR Smith,0,33.3,3,1,0,1,1,14.3,7,0,0,0,1,1,3,22:50,-4,2,0,1,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,11
George Hill,0,33.3,3,1,3,0,1,50,8,0,0,0,4,0,9,27:08,-9,3,0,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,14.5
Ante Zizic,1,0,0,1,1,7,0,77.8,9,2,50,2,7,5,15,19:47,-6,0,2,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,26
Kyle Korver,0,80,5,1,2,4,4,66.7,6,0,0,0,4,4,12,28:29,-13,0,1,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,26
Jordan Clarkson,2,0,3,2,1,0,0,12.5,8,0,100,2,1,0,4,16:23,-17,4,0,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,6
Jose Calderon,5,50,2,2,3,1,1,80,5,0,83.3,6,4,1,14,20:39,-3,2,0,1,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,16
John Holland,3,66.7,3,0,0,3,2,40,5,0,75,4,2,3,9,18:45,-2,2,0,1,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,19
London Perrantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6:24,7,1,0,0,"MAR 11 2018",1000,29,31,22,31,33,32,33,29,127,113,"Capers""""","Brown""""",Twardoski,LOS,CLE,LAL,1.5
