Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Mario Hezonja,2,50,4,1,1,4,2,55.6,9,2,100,2,5,2,14,26:48,-23,4,0,1,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,28
Jonathon Simmons,1,0,2,0,4,1,0,14.3,7,0,100,1,1,1,3,20:22,-28,2,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,6
Bismack Biyombo,0,0,0,3,3,8,0,50,6,2,0,0,3,6,6,21:34,-24,1,1,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,15.5
Evan Fournier,0,0,4,1,4,4,0,42.9,14,1,0,0,6,3,12,34:56,-24,2,1,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,21
Elfrid Payton,0,100,2,3,2,2,2,42.9,7,1,0,2,3,1,8,23:18,-24,4,0,1,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,20
Aaron Gordon,6,14.3,7,1,3,8,1,37.5,16,2,75,8,6,6,19,32:40,0,2,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,25
Wes Iwundu,2,0,0,0,0,2,0,50,2,0,66.7,3,1,2,4,16:35,12,3,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,8.5
DJ Augustin,4,80,5,2,1,2,4,62.5,8,0,100,4,5,2,18,23:28,10,5,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,29.5
Marreese Speights,1,40,5,2,4,10,2,62.5,8,1,50,2,5,9,13,21:28,15,2,2,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,33
Arron Afflalo,0,0,0,0,1,0,0,50,2,0,0,0,1,0,2,16:23,13,2,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,5
Shelvin Mack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:14,-1,0,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,0
Khem Birch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:14,-1,0,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,0
Harrison Barnes,3,66.7,3,1,1,6,2,55.6,9,0,75,4,5,6,15,36:25,27,2,0,1,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,27
Maxi Kleber,0,0,1,0,1,1,0,50,2,0,0,0,1,1,2,4:34,-5,0,0,1,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,6
Dirk Nowitzki,7,33.3,3,0,1,3,1,46.2,13,0,100,7,6,3,20,24:03,0,1,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,19.5
Wesley Matthews,4,33.3,6,1,4,5,2,50,10,1,80,5,5,4,16,33:11,27,3,0,1,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,27.5
Dennis Smith,2,40,5,0,5,6,2,42.1,19,1,100,2,8,5,20,33:32,16,3,1,2,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,41.5
Yogi Ferrell,1,66.7,3,1,2,8,2,66.7,9,3,100,1,6,5,15,33:08,29,4,0,0,"JAN 9 2018",601,19,29,27,24,25,18,39,32,114,99,"Corbin""""","Richardson""""",Phillips,DALLAS,ORL,DAL,31
