Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Jayson Tatum,5,66.7,3,1,1,4,2,66.7,9,1,83.3,6,6,3,19,30:17,5,0,1,3,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,33
Marcus Morris,3,66.7,3,3,1,10,2,66.7,12,0,100,3,8,10,21,25:19,-10,1,0,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,30.5
Al Horford,0,50,2,2,1,11,1,80,10,1,0,0,8,10,17,30:27,22,3,0,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,32.5
Jaylen Brown,3,25,4,2,2,4,1,55.6,9,0,75,4,5,4,14,31:27,24,3,0,3,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,28.5
Kyrie Irving,7,40,5,2,1,3,2,40,20,1,87.5,8,8,2,25,29:01,10,5,0,1,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,33.5
Marcus Smart,4,0,3,3,4,5,0,12.5,8,3,100,4,1,2,6,34:36,6,2,0,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,7
Daniel Theis,0,33.3,3,0,2,7,1,20,5,1,0,0,1,6,3,11:16,-7,0,1,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,15
Terry Rozier,0,0,2,0,0,2,0,0,5,1,0,0,0,1,0,20:51,-4,0,0,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,2
Aron Baynes,0,0,1,1,1,2,0,0,4,1,0,2,0,1,0,12:28,-4,1,1,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,5.5
Semi Ojeleye,0,0,0,0,0,0,0,100,1,0,0,0,1,0,2,7:46,-11,0,0,0,"NOV 14 2017",201,30,22,28,29,21,31,19,31,102,109,"Mauer""""","Cutler""""",Williams,BOSTON,BOS,BKN,2
